names		a_NaCl	error1	P_NaCl	a_fp20	error2
mw20a_005	5.6003	0.0006	 0.54	4.2323	0.0004
mw20a_034	5.4003	0.0005	 4.34	4.2102	0.0009
mw20a_080	5.1530	0.0031	12.59	4.1401	0.0007
mw20a_051	5.1254	0.0002	13.84	4.1412	0.0008
mw20a_082	5.1170	0.0027	14.23	4.1359	0.0005
mw20a_246	5.0346	0.0025	18.52	4.1071	0.0006
mw20a_109	4.9971	0.0000	20.73	4.0869	0.0007
mw20a_298	3.0438	0.0000	27.15	4.0686	0.0000
mw20a_295	3.0373	0.0000	28.00	4.0641	0.0002
mw20a_110	4.8738	0.0015	29.30	4.0385	0.0011
mw20a_300	3.0228	0.0000	29.97	4.0428	0.0005
mw20a_189	2.9889	0.0003	35.01	4.0142	0.0008
mw20a_216	2.9867	0.0000	35.36	4.0083	0.0004
mw20a_240	2.9834	0.0009	35.89	4.0059	0.0005
mw20a_327	2.9742	0.0007	37.40	4.0003	0.0028
mw20a_163	2.9655	0.0010	38.88	3.9874	0.0002
mw20a_137	2.9538	0.0000	40.95	3.9820	0.0010
mw20a_352	2.9474	0.0000	42.12	3.9790	0.0013
mw20a_111	2.9450	0.0005	42.56	3.9760	0.0012
mw20a_370	2.9425	0.0021	42.66	3.9648	0.0011
mw20a_491	2.9266	0.0005	46.12	3.9537	0.0001
mw20a_467	2.9151	0.0015	48.46	3.9461	0.0015
mw20a_444	2.9038	0.0001	50.87	3.9362	0.0000
mw20a_381	2.8806	0.0005	56.14	3.9162	0.0021
mw20a_396	2.8727	0.0022	58.05	3.9081	0.0024
mw20a_413	2.8506	0.0005	63.68	3.8887	0.0026
mw20c_006	5.5180	0.0022	 1.86	4.2289	0.0005
mw20b_001	5.3447	0.0002	 5.79	4.1937	0.0032
mw20b_014	5.2705	0.0010	 8.07	4.1839	0.0012
mw20c_192	5.2142	0.0042	10.08	4.1537	0.0025
mw20b_038	5.1042	0.0001	14.85	4.1308	0.0006
mw20b_039	5.1034	0.0014	14.89	4.1297	0.0004
mw20b_022	5.0760	0.0003	16.27	4.1184	0.0023
mw20c_308	3.0460	0.0022	26.86	4.0503	0.0001
mw20c_309	3.0375	0.0039	27.97	4.0406	0.0019
w20c_331	2.9924	0.0008	34.46	4.0151	0.0008
mw20c_354	2.9789	0.0008	36.62	3.9958	0.0012
mw20c_384	2.9467	0.0011	42.25	3.9780	0.0034
mw20c_413	2.9136	0.0003	48.78	3.9435	0.0017
mw20c_478	2.9012	0.0006	51.44	3.9276	0.0002
mw20b_057	2.8666	0.0024	59.56	3.9037	0.0026
mw20b_064	2.8409	0.0006	66.31	3.8771	0.0020
mw20b_069	2.8232	0.0004	71.35	3.8597	0.0025
mw20b_075	2.7919	0.0009	81.14	3.8302	0.0026
mw20b_080	2.7625	0.0010	91.46	3.8060	0.0030
mw20b_083	2.7519	0.0018	95.48	3.7948	0.0045
