temperature_k,temperature_uncertainty_k,pressure_gpa,pressure_uncertainty_gpa,unit_cell_volume_a3,unit_cell_volume_uncertainty_a3,lattice_a_angstrom,lattice_a_uncertainty_angstrom,lattice_b_angstrom,lattice_b_uncertainty_angstrom,lattice_c_angstrom,lattice_c_uncertainty_angstrom
1521,100,69.4,0.6,74.65,0.04,4.105,0.001,4.566,0.003,3.984,0.008
1522,100,62.9,0.5,76.20,0.07,4.136,0.005,4.593,0.005,4.011,0.009
1523,100,72.5,0.7,73.80,0.04,4.082,0.003,4.555,0.003,3.970,0.009
1526,100,70.9,0.6,74.12,0.03,4.098,0.002,4.564,0.003,3.963,0.007
1529,100,57.1,0.6,78.09,0.06,4.187,0.004,4.615,0.004,4.041,0.009
1532,100,64.9,0.6,75.73,0.06,4.121,0.004,4.580,0.005,4.013,0.009
1533,100,57.1,0.6,78.08,0.05,4.187,0.004,4.615,0.004,4.041,0.009
1538,100,66.0,0.6,75.44,0.08,4.112,0.005,4.576,0.006,4.010,0.009
1542,100,60.7,0.5,76.54,0.06,4.149,0.004,4.597,0.004,4.013,0.009
1542,100,66.3,0.6,75.37,0.08,4.110,0.006,4.575,0.006,4.008,0.009
1543,100,64.9,0.6,75.74,0.08,4.120,0.005,4.578,0.006,4.015,0.009
1544,100,64.5,0.6,75.77,0.07,4.122,0.005,4.580,0.005,4.013,0.009
1582,100,71.5,0.6,74.11,0.02,4.097,0.001,4.564,0.001,3.963,0.004
1594,100,60.6,0.5,76.76,0.02,4.151,0.002,4.604,0.002,4.016,0.005
1615,100,58.9,0.5,77.11,0.04,4.159,0.003,4.609,0.003,4.022,0.009
1620,100,58.1,0.6,77.91,0.07,4.184,0.005,4.616,0.005,4.035,0.009
1629,100,64.8,0.6,75.86,0.06,4.127,0.004,4.581,0.005,4.013,0.009
1648,100,61.4,0.6,76.72,0.02,4.149,0.002,4.601,0.002,4.019,0.005
1648,100,72.0,0.5,74.05,0.04,4.096,0.003,4.564,0.003,3.961,0.009
1655,100,61.5,0.6,76.71,0.03,4.147,0.002,4.600,0.002,4.021,0.006
1656,100,73.6,0.7,73.77,0.03,4.082,0.001,4.555,0.002,3.968,0.004
1661,100,70.0,0.6,74.67,0.02,4.105,0.001,4.565,0.001,3.985,0.003
1673,100,61.6,0.5,76.56,0.04,4.149,0.003,4.597,0.003,4.014,0.009
1701,100,61.5,0.5,76.65,0.04,4.151,0.003,4.598,0.003,4.016,0.008
1704,100,73.8,0.7,73.82,0.02,4.082,0.002,4.555,0.002,3.970,0.005
1705,100,56.0,0.5,78.36,0.03,4.201,0.002,4.622,0.003,4.036,0.007
1728,100,65.4,0.6,75.80,0.06,4.126,0.004,4.581,0.005,4.010,0.009
1731,100,65.5,0.6,75.86,0.07,4.126,0.005,4.581,0.006,4.014,0.009
1734,100,64.6,0.6,76.10,0.05,4.133,0.004,4.591,0.004,4.011,0.009
1736,100,65.6,0.6,75.81,0.07,4.125,0.005,4.581,0.006,4.011,0.009
