source_table,temperature_k,pressure_gpa,log10_fugacity
Table S4,1200.0,30.0,-4.0467928162131
Table S4,1200.0,31.0,-3.64139216431971
Table S4,1200.0,32.0,-3.23792417179805
Table S4,1200.0,33.0,-2.83635430487278
Table S4,1200.0,34.0,-2.43664914860331
Table S4,1200.0,35.0,-2.03877635477587
Table S4,1200.0,36.0,-1.64270459291022
Table S4,1200.0,37.0,-1.24840350415844
Table S4,1200.0,38.0,-0.855843657891163
Table S4,1200.0,39.0,-0.464996510783045
Table S4,1200.0,40.0,-0.0758343682244948
Table S4,1200.0,41.0,0.311669652099872
Table S4,1200.0,42.0,0.697541654612891
Table S4,1200.0,43.0,1.08180699836199
Table S4,1200.0,44.0,1.46449032777686
Table S4,1200.0,45.0,1.8456156017829
Table S4,1200.0,46.0,2.22520612137728
Table S4,1200.0,47.0,2.60328455576601
Table S4,1200.0,48.0,2.97987296715341
Table S4,1200.0,49.0,3.35499283426854
Table S4,1200.0,50.0,3.72866507470686
Table S4,1200.0,51.0,4.10091006615993
Table S4,1200.0,52.0,4.47174766660054
Table S4,1200.0,53.0,4.84119723348607
Table S4,1200.0,54.0,5.20927764203837
Table S4,1200.0,55.0,5.57600730265433
Table S4,1200.0,56.0,5.94140417749786
Table S4,1200.0,57.0,6.30548579632013
Table S4,1200.0,58.0,6.66826927155216
Table S4,1200.0,59.0,7.02977131271068
Table S4,1200.0,60.0,7.39000824015548
Table S4,1200.0,61.0,7.7489959982341
Table S4,1200.0,62.0,8.10675016784721
Table S4,1200.0,63.0,8.4632859784661
Table S4,1200.0,64.0,8.81861831963145
Table S4,1200.0,65.0,9.17276175196095
Table S4,1200.0,66.0,9.52573051769147
Table S4,1200.0,67.0,9.87753855077995
Table S4,1200.0,68.0,10.2281994865857
Table S4,1200.0,69.0,10.5777266711554
Table S4,1200.0,70.0,10.926133170131
Table S4,1200.0,71.0,11.2734317772987
Table S4,1200.0,72.0,11.6196350227979
Table S4,1200.0,73.0,11.9647551810057
Table S4,1200.0,74.0,12.3088042781133
Table S4,1200.0,75.0,12.6517940994088
Table S4,1200.0,76.0,12.9937361962809
Table S4,1200.0,77.0,13.3346418929557
Table S4,1200.0,78.0,13.6745222929803
Table S4,1200.0,79.0,14.0133882854638
Table S4,1200.0,80.0,14.3512505510882
Table S4,1200.0,81.0,14.6881195678977
Table S4,1200.0,82.0,15.0240056168788
Table S4,1200.0,83.0,15.3589187873384
Table S4,1200.0,84.0,15.6928689820904
Table S4,1200.0,85.0,16.0258659224584
Table S4,1200.0,86.0,16.3579191531026
Table S4,1200.0,87.0,16.6890380466789
