pressure_gpa,volume_a3,volume_ratio
0.00000000000000,39.5699792787865,0.999999476340322
2.84435491069518,37.0494106805210,0.936300497359642
6.06342256682104,34.9891687678851,0.884234742680947
9.70558361141427,33.2194471562492,0.839510921310316
13.8264907104528,31.6509750819999,0.799873011928226
18.4900105229277,30.2307181107144,0.763980745785049
23.7696101078072,28.9244920799310,0.730970231992192
29.7500107480883,27.7090461610556,0.700253883271560
36.5291678030957,26.5673708345877,0.671401840651698
44.2206497003069,25.4875031610996,0.644111780669689
52.9565077013624,24.4597068933726,0.618137652094329
62.8907518683982,23.4769611783146,0.593302026239945
74.2035793884617,22.5333823147665,0.569456212149772
87.1065413469239,21.6243123885912,0.546482496552721
101.848886255709,20.7459503473774,0.524284820504861
118.725387366029,19.8951590528501,0.502783903281529
138.086051875264,19.0693243930760,0.481913681907404
160.348231729044,18.2662504831764,0.461618662703472
186.011819296999,17.4840889370082,0.441852133864244
215.678433059038,16.7212356533522,0.422573557072332
250.075801945491,15.9763686833566,0.403749524471988
290.088975987260,15.2483261485206,0.385350673452630
336.800575052227,14.5361195092519,0.367352021967447
391.543110189891,13.8389017412361,0.349732164297096
455.967583810983,13.1559486435698,0.332472798675000
532.134263393017,12.4866438196391,0.315558347729065
