pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3
49.2069,57.005405,0.3,0.03
49.2970,56.794595,0.3,0.03
55.5155,55.983784,0.3,0.03
68.9438,54.394595,0.3,0.03
79.0375,53.794595,0.3,0.03
90.3929,52.578378,0.3,0.03
