source_order,pressure_gpa,pressure_ruby_after_heating_gpa,pressure_pt_after_heating_gpa,a_angstrom,a_standard_deviation_angstrom,b_angstrom,b_standard_deviation_angstrom,c_angstrom,c_standard_deviation_angstrom,volume_a3_conventional_cell,volume_standard_deviation_a3,observation_kind,fit_included
1,0.0,,,8.649,0.003,9.977,0.004,2.785,0.001,240.3,0.2,recovered_ambient,1
2,33.4,34.3,32.4,8.271,0.003,9.561,0.005,2.686,0.001,212.406277266,0.156613243,in_situ_after_heating,1
