source_line,temperature_k,pressure_gpa,pressure_sigma_gpa,mg_perovskite_volume_a3,mg_perovskite_volume_sigma_a3,ferropericlase_volume_a3,ferropericlase_volume_sigma_a3,ca_perovskite_volume_a3,ca_perovskite_volume_sigma_a3,pressure_medium_volume_a3,pressure_medium_volume_sigma_a3,pressure_medium_volume_2_a3,pressure_medium_volume_2_sigma_a3,gold_volume_a3,gold_volume_sigma_a3
69,300,42.73,0.13,143.356,0.048,63.068,0.029,39.574,0.134,32.029,0.011,,,57.756,0.019
71,2070,57.83,1.25,142.649,0.109,62.013,0.170,39.973,0.203,31.207,0.020,,,57.513,0.014
72,2050,56.36,1.58,143.012,0.251,62.160,0.048,39.825,0.105,31.404,0.017,,,57.705,0.063
73,2114,57.15,1.24,143.029,0.044,62.025,0.044,39.749,0.071,31.255,0.016,,,57.661,0.014
74,2042,56.06,1.28,142.829,0.044,61.981,0.094,39.750,0.079,31.291,0.013,,,57.740,0.020
75,2417,57.11,1.64,144.116,0.084,61.860,0.068,39.872,0.235,31.423,0.018,,,58.009,0.075
76,2406,58.15,1.36,143.607,0.085,61.934,0.042,39.887,0.078,31.280,0.015,,,57.841,0.032
77,300,53.00,0.38,140.484,0.149,60.570,0.097,39.434,0.373,30.985,0.010,,,56.333,0.049
79,2060,65.39,1.24,139.909,0.054,61.122,0.044,38.736,0.143,24.340,0.013,,,56.473,0.011
80,1803,63.05,1.27,140.040,0.071,61.202,0.056,38.875,0.157,24.244,0.013,,,56.521,0.015
81,300,52.22,0.09,139.978,0.054,60.924,0.064,38.891,0.128,24.203,0.012,,,56.433,0.011
82,1988,66.98,1.34,140.209,0.084,60.687,0.044,38.722,0.123,23.901,0.013,,,56.199,0.013
83,1870,65.51,1.28,140.283,0.081,61.104,0.067,39.079,0.162,23.925,0.013,,,56.271,0.015
84,1784,64.82,1.28,140.340,0.090,61.104,0.064,38.812,0.137,23.912,0.015,,,56.274,0.015
85,2009,67.27,1.30,139.962,0.093,60.693,0.037,38.808,0.114,23.932,0.012,,,56.183,0.018
86,1978,67.21,1.31,139.622,0.077,60.677,0.039,39.055,0.275,24.022,0.009,,,56.160,0.019
87,300,54.89,0.19,139.047,0.085,60.056,0.044,38.792,0.198,24.029,0.005,,,56.091,0.024
89,2194,82.28,1.44,135.497,0.021,58.465,0.017,37.663,0.041,28.424,0.024,,,54.609,0.029
90,2283,82.32,1.52,135.564,0.021,58.502,0.015,37.623,0.039,28.230,0.028,,,54.679,0.037
91,2144,81.03,1.34,135.550,0.024,58.469,0.020,37.640,0.047,28.346,0.041,,,54.702,0.018
92,2277,81.53,1.38,135.501,0.019,58.499,0.014,37.619,0.033,28.440,0.028,,,54.760,0.023
93,1942,81.02,1.28,135.131,0.022,58.389,0.021,37.532,0.033,29.067,0.011,,,54.534,0.012
94,1843,80.33,1.40,135.056,0.022,58.241,0.023,37.510,0.032,29.087,0.007,,,54.525,0.025
95,1833,80.84,1.27,135.003,0.021,58.223,0.020,37.503,0.030,29.044,0.009,,,54.463,0.010
96,1726,80.30,1.29,134.896,0.018,58.101,0.020,37.473,0.024,28.953,0.010,,,54.431,0.013
97,1603,80.04,1.31,134.775,0.020,58.089,0.023,37.431,0.032,28.897,0.015,,,54.357,0.014
98,1552,80.07,1.34,134.672,0.021,58.041,0.020,37.396,0.033,28.875,0.014,,,54.313,0.017
99,1452,80.17,1.44,134.520,0.025,57.897,0.018,37.369,0.040,28.798,0.022,,,54.221,0.028
100,1400,80.08,1.54,134.431,0.025,57.843,0.017,37.354,0.039,28.749,0.020,,,54.188,0.037
101,300,74.21,0.34,133.601,0.031,57.154,0.015,37.274,0.081,28.275,0.012,,,53.918,0.036
103,2310,84.07,1.28,135.589,0.035,58.571,0.029,37.554,0.046,28.304,0.052,,,54.515,0.011
104,2386,83.11,1.26,135.668,0.033,58.520,0.051,37.609,0.054,28.299,0.115,,,54.680,0.009
105,2141,82.55,1.25,135.322,0.032,58.421,0.028,37.507,0.039,28.626,0.083,,,54.535,0.008
106,2103,82.51,1.25,135.255,0.032,58.384,0.046,37.506,0.043,28.976,0.011,,,54.509,0.008
107,2028,81.85,1.23,135.100,0.028,58.252,0.036,37.490,0.040,28.958,0.007,,,54.517,0.006
108,1876,81.17,1.25,135.095,0.037,58.171,0.061,37.494,0.044,28.959,0.012,,,54.462,0.008
109,1788,81.48,1.28,134.863,0.026,58.047,0.046,37.437,0.049,28.879,0.017,,,54.358,0.011
110,1622,80.78,1.28,134.638,0.035,58.033,0.035,37.397,0.054,28.649,0.051,,,54.295,0.011
111,1516,81.22,1.30,134.536,0.027,58.000,0.031,37.355,0.040,28.591,0.042,,,54.165,0.013
112,1399,80.77,1.29,134.399,0.032,57.980,0.032,37.329,0.039,28.524,0.040,,,54.117,0.012
113,1343,80.96,1.29,134.311,0.030,57.951,0.028,37.321,0.030,28.523,0.039,,,54.053,0.011
114,300,75.45,0.12,133.655,0.040,57.258,0.047,37.201,0.051,28.259,0.036,,,53.794,0.012
116,1436,93.02,1.25,131.863,0.045,56.212,0.041,36.617,0.065,27.430,0.093,,,52.964,0.006
117,1568,93.32,1.27,131.873,0.036,56.287,0.039,36.571,0.048,27.549,0.059,,,53.031,0.008
118,1702,94.10,1.28,131.923,0.032,56.380,0.039,36.569,0.047,27.818,0.019,,,53.057,0.009
119,1777,94.00,1.27,132.019,0.029,56.441,0.043,36.640,0.034,27.414,0.038,,,53.120,0.008
120,1908,94.55,1.28,132.089,0.031,56.383,0.055,36.667,0.030,27.593,0.059,,,53.164,0.009
121,1942,94.04,1.26,132.139,0.031,56.471,0.034,36.666,0.038,27.726,0.030,,,53.237,0.007
122,2146,94.33,1.24,132.413,0.024,56.530,0.037,36.741,0.034,27.631,0.043,,,53.360,0.005
123,2256,94.66,1.28,132.423,0.053,56.536,0.051,36.747,0.048,27.948,0.021,,,53.411,0.009
124,2304,94.66,1.26,132.600,0.034,56.587,0.064,36.779,0.038,27.909,0.019,,,53.447,0.008
125,2523,95.00,1.26,132.748,0.039,56.689,0.061,36.793,0.048,27.497,0.068,,,53.579,0.007
126,2332,94.86,1.25,132.566,0.030,56.762,0.052,36.776,0.026,27.966,0.016,,,53.449,0.006
127,2200,94.25,1.29,132.409,0.050,56.380,0.066,36.762,0.046,27.935,0.038,,,53.408,0.010
128,2000,93.29,1.27,132.265,0.045,56.456,0.064,36.707,0.032,27.483,0.063,,,53.350,0.008
129,1911,92.78,1.28,132.179,0.044,56.377,0.053,36.700,0.033,27.710,0.067,,,53.332,0.009
130,1791,93.03,1.27,131.971,0.048,56.226,0.082,36.664,0.035,27.229,0.099,,,53.220,0.008
131,1698,92.47,1.26,131.870,0.047,56.301,0.054,36.650,0.034,27.065,0.051,,,53.204,0.007
132,1626,92.24,1.25,131.828,0.057,56.210,0.069,36.616,0.032,27.360,0.118,,,53.173,0.007
