source_row,pressure_gpa,pressure_sd_gpa,quartz_volume_a3,quartz_volume_sd_a3,lattice_a_angstrom,lattice_a_sd_angstrom,volume_ratio,volume_ratio_sd
1,0.0001,,113.012,0.007,4.27419,0.00007,1.00000,
2,1.239,0.005,109.630,0.009,4.26270,0.00005,0.99195,0.00006
3,2.648,0.004,106.472,0.005,4.25039,0.00006,0.98338,0.00006
4,3.531,0.004,104.766,0.005,4.24302,0.00006,0.97828,0.00006
6,5.299,0.004,101.803,0.005,4.22881,0.00006,0.96848,0.00006
7,6.484,0.005,100.081,0.005,4.21960,0.00006,0.96217,0.00006
8,7.179,0.009,99.149,0.011,4.21444,0.00006,0.95864,0.00006
