series,pdf_curve_index,pdf_x_pt,pdf_top_pt,pressure_gpa,volume_a3
rp01_dewaele_pt,3,236.3675,142.84399999999994,130.68357084834713,23.31866111026511
rp01_dewaele_pt,5,245.0225,148.83949999999993,155.1828267090491,22.85582024990613
rp01_dewaele_pt,7,245.3045,149.17849999999999,155.98106936100953,22.82965011369368
rp01_dewaele_pt,9,258.4845,158.68150000000003,193.2890060732051,22.096037121284134
rp01_dewaele_pt,11,262.3315,161.96299999999997,204.178507782751,21.842711746708538
rp01_dewaele_pt,13,263.0665,163.03750000000002,206.2590338437118,21.759762450660546
rp01_dewaele_pt,15,263.6885,164.05499999999995,208.0196967143479,21.681213443002264
rp01_dewaele_pt,17,263.8015,164.3945,208.33955990467257,21.655004707768853
rp01_dewaele_pt,19,263.8015,164.452,208.33955990467257,21.65056582035819
rp01_dewaele_pt,21,265.951,164.84749999999997,214.4240371400948,21.62003399477701
rp01_dewaele_pt,23,266.5165,165.13099999999997,216.0247684155687,21.59814834989138
rp01_dewaele_pt,25,266.913,165.6964999999999,217.1471202294067,21.554492857183025
rp01_dewaele_pt,27,267.705,166.26149999999996,219.38899320938083,21.510875963495614
rp01_dewaele_pt,29,268.8355,166.99749999999995,222.58904043647783,21.454058204639104
rp01_dewaele_pt,31,271.26800000000003,168.29899999999998,229.4745909715624,21.353584953074225
rp01_dewaele_pt,33,277.8305,173.6724999999999,248.05071651585536,20.938761274792355
rp01_dewaele_pt,35,279.13100000000003,173.6724999999999,251.73197385229025,20.938761274792355
rp01_dewaele_pt,37,284.1665,175.93449999999996,265.9857003556482,20.76413930395889
rp01_dewaele_pt,39,284.392,176.10449999999992,266.6240114124464,20.75101563683171
rp01_dewaele_pt,41,284.5615,176.55650000000003,267.1038061979334,20.716122121881778
rp01_dewaele_pt,43,289.313,180.12099999999998,280.553628753927,20.440949701441518
rp01_dewaele_pt,45,289.7655,180.68600000000004,281.83449683907634,20.39733280775411
rp01_dewaele_pt,47,289.8785,180.40399999999988,282.1543600294009,20.419102655576864
rp01_dewaele_pt,49,289.8785,180.12099999999998,282.1543600294009,20.440949701441518
rp01_dewaele_pt,51,289.8785,179.894,282.1543600294009,20.458473656958404
rp01_dewaele_pt,53,289.9355,178.59249999999997,282.31570694841423,20.558946908523282
rp01_yokoo_pt,55,239.139,142.8995,138.5287109544056,23.31437661893829
rp01_yokoo_pt,57,248.47199999999998,148.89549999999997,164.947145957055,22.85149715955835
rp01_yokoo_pt,59,248.8115,149.2344999999999,165.90815085187978,22.82532702334591
rp01_yokoo_pt,61,262.953,158.73849999999993,205.93775532953612,22.09163683289444
rp01_yokoo_pt,63,267.139,162.019,217.78684661005593,21.83838865636076
rp01_yokoo_pt,65,267.93050000000005,163.09349999999995,220.02730426617916,21.75543936031277
rp01_yokoo_pt,67,268.6095,164.11199999999997,221.9493140558286,21.67681315461256
rp01_yokoo_pt,69,268.723,164.452,222.27059257000417,21.65056582035819
rp01_yokoo_pt,71,268.78000000000003,164.50749999999994,222.4319394890175,21.646281329031382
rp01_yokoo_pt,73,271.099,164.904,228.9962115099264,21.615672305408268
rp01_yokoo_pt,75,271.66499999999996,165.1864999999999,230.5983581092513,21.593863858564575
rp01_yokoo_pt,77,272.1175,165.75349999999992,231.87922619440076,21.550092568793318
rp01_yokoo_pt,79,273.022,166.31849999999997,234.43954704084842,21.50647567510591
rp01_yokoo_pt,81,274.2105,167.05349999999999,237.80377183466067,21.449735114291325
rp01_yokoo_pt,83,276.812,168.35449999999992,245.16770183138112,21.34930046174742
rp01_yokoo_pt,85,283.99649999999997,173.72899999999993,265.5044902463103,20.934399585423613
rp01_yokoo_pt,87,285.40999999999997,173.72899999999993,269.50561077306963,20.934399585423613
rp01_yokoo_pt,89,290.84000000000003,175.99149999999997,284.876027794862,20.759739015569185
rp01_yokoo_pt,91,291.12399999999997,176.16149999999993,285.67993174222624,20.746615348442006
rp01_yokoo_pt,93,291.293,176.61299999999994,286.15831120386235,20.711760432513046
rp01_yokoo_pt,95,296.4975,180.17649999999992,300.8904171688563,20.436665210114707
rp01_yokoo_pt,97,297.00600000000003,180.74299999999994,302.32980152531707,20.392932519364415
rp01_yokoo_pt,99,297.12,180.4604999999999,302.6524953633435,20.41474096620812
rp01_yokoo_pt,101,297.12,180.17649999999992,302.6524953633435,20.436665210114707
rp01_yokoo_pt,103,297.1755,179.9515,302.80959631080384,20.45403476954774
rp01_yokoo_pt,105,297.1755,178.6495,302.80959631080384,20.55454662013358
micro17_yokoo_pt,107,236.64999999999998,143.52199999999993,131.48322882415857,23.266320837840226
micro17_yokoo_pt,108,240.723,144.82299999999998,143.01245691435383,23.16588618529631
micro17_yokoo_pt,109,244.51299999999998,149.79999999999995,153.74061170488642,22.781671530637542
micro17_yokoo_pt,110,237.78199999999998,140.01449999999988,134.68752202280848,23.537092969890793
micro17_yokoo_pt,111,243.099,146.0669999999999,149.73807585427608,23.069851821142105
micro17_yokoo_pt,112,248.13299999999998,150.53599999999994,163.98755638608122,22.72485377178103
