pressure_gpa,volume_a3,volume_ratio
0.00000000000000,31.7239843645300,0.999999507140652
2.84435491069518,31.4268235470363,0.990632440645450
6.06342256682104,31.1078417186571,0.980577534946952
9.70558361141427,30.7667820127309,0.969826693126052
13.8264907104528,30.4033673683536,0.958371181703241
18.4900105229277,30.0177378542349,0.946215415907040
23.7696101078072,29.6098913759740,0.933359329718006
29.7500107480883,29.1800019614946,0.919808408822802
36.5291678030957,28.7283373552511,0.905571093028973
44.2206497003069,28.2552587688924,0.890658768405382
52.9565077013624,27.7612090480993,0.875085394278757
62.8907518683982,27.2467094196594,0.858867400695354
74.2035793884617,26.7123404261044,0.842023087444977
87.1065413469239,26.1587020112771,0.824571365883152
101.848886255709,25.5865547633394,0.806536211175746
118.725387366029,24.9965904588730,0.787939429418515
138.086051875264,24.3895662015931,0.768804885941026
160.348231729044,23.7662635760219,0.749157217753812
186.011819296999,23.1274824584352,0.729021638457797
215.678433059038,22.4740358828971,0.708423776412090
250.075801945491,21.8067457185349,0.687389538473551
290.088975987260,21.1264392622728,0.665945002593393
336.800575052227,20.4339467324204,0.644116338810376
391.543110189891,19.7300995071011,0.621929753722768
455.967583810983,19.0157292717298,0.599411463615237
532.134263393017,18.2916678556936,0.576587689310730
