pressure_gpa,volume_a3,volume_ratio
0.00000000000000,22.4200657437726,1.00000293237166
2.84435491069518,22.0470509367703,0.983365340623117
6.06342256682104,21.6684857943078,0.966480187078848
9.70558361141427,21.2847245743633,0.949363272719149
13.8264907104528,20.8961348181844,0.932030990998413
18.4900105229277,20.5029551860303,0.914493986888058
23.7696101078072,20.1056334727488,0.896772233396467
29.7500107480883,19.7043439013952,0.878873501400319
36.5291678030957,19.2993067064134,0.860807614023790
44.2206497003069,18.8907159484855,0.842583226961888
52.9565077013624,18.4787426920381,0.824207970206871
62.8907518683982,18.0635377789827,0.805688571765507
74.2035793884617,17.6452342524082,0.787030965763078
87.1065413469239,17.2239494781233,0.768240387070620
101.848886255709,16.7997870063729,0.749321454343125
118.725387366029,16.3728382109209,0.730278243127604
138.086051875264,15.9431837380994,0.711114350495066
160.348231729044,15.5108947944038,0.691832952471178
186.011819296999,15.0760342977576,0.672436855386154
215.678433059038,14.6386579146501,0.652928542134259
250.075801945491,14.1988150029397,0.633310214225676
290.088975987260,13.7565494808567,0.613583830546684
336.800575052227,13.3119057059334,0.593751369577760
391.543110189891,12.8649084949181,0.573813938221147
455.967583810983,12.4155913817293,0.553773032191314
532.134263393017,11.9639930999231,0.533630379122352
