pressure_gpa,temperature_k,volume_a3_conventional_cell
122.4684764,1938,52.47122
122.3859515,1888,52.47666
121.609597,1732,52.4718
121.7258728,1736,52.47458
124.2242383,2339,52.55274
124.7267101,2438,52.54049
123.413056,2182,52.56048
124.1122013,2297,52.55105
122.0070734,1762,52.46407
126.2312596,1917,52.18476
126.2941807,1864,52.142
128.8145618,2348,52.196
127.4131205,2037,52.14992
125.7100776,1728,52.12035
