pressure_gpa,molar_volume_cm3_per_mol,volume_a3_conventional_cell,pressure_error_gpa,molar_volume_error_cm3_per_mol,volume_error_a3_conventional_cell,pressure_digitization_uncertainty_gpa,molar_volume_digitization_uncertainty_cm3_per_mol
38.5321,9.663821,16.047153,0.7706,0.050000,0.083027,0.3,0.015
46.3133,9.519550,15.807585,0.9263,0.050000,0.083027,0.3,0.015
47.6525,9.476482,15.736069,0.9531,0.050000,0.083027,0.3,0.015
49.5617,9.431970,15.662155,0.9912,0.050000,0.083027,0.3,0.015
51.1351,9.364480,15.550085,1.0227,0.050000,0.083027,0.3,0.015
55.3869,9.269304,15.392041,1.1077,0.050000,0.083027,0.3,0.015
59.4435,9.178711,15.241608,1.1889,0.050000,0.083027,0.3,0.015
66.6040,9.037453,15.007043,1.3321,0.050000,0.083027,0.3,0.015
73.1905,8.925388,14.820956,1.4638,0.050000,0.083027,0.3,0.015
78.2056,8.839441,14.678237,1.5641,0.050000,0.083027,0.3,0.015
82.3578,8.776408,14.573569,1.6472,0.050000,0.083027,0.3,0.015
88.2767,8.694981,14.438356,1.7655,0.050000,0.083027,0.3,0.015
93.8638,8.598361,14.277914,1.8773,0.050000,0.083027,0.3,0.015
126.9937,8.149977,13.533355,2.5399,0.050000,0.083027,0.3,0.015
159.9343,7.784653,12.926720,3.1987,0.050000,0.083027,0.3,0.015
