source_order,shot,starting_material,reference,flyer_driver_material,flyer_velocity_km_s,flyer_velocity_uncertainty_km_s,initial_density_g_cm3,initial_density_uncertainty_g_cm3,shock_velocity_km_s,shock_velocity_uncertainty_km_s,particle_velocity_km_s,particle_velocity_uncertainty_km_s,pressure_gpa,pressure_uncertainty_gpa,shock_density_g_cm3,shock_density_uncertainty_g_cm3,phase_state,fit_included
1,318,enstatite,Akins et al. 2004,Ta,6.71,0.01,3.199,0.009,11.16,0.09,4.87,0.02,174.0,1.3,5.68,0.05,melt,1
2,322,enstatite,Akins et al. 2004,Ta,7.22,0.01,3.199,0.009,11.69,0.05,5.23,0.02,195.5,1.0,5.79,0.03,melt,1
3,319,enstatite,Akins et al. 2004,Ta,7.38,0.01,3.199,0.009,11.99,0.19,5.33,0.02,204.3,2.7,5.76,0.09,melt,1
