run,ruby_pressure_mao_gpa,atomic_volume_a3
1,1.8,15.4547
1,5.2,15.2764
1,8,15.1336
1,8.6,15.1013
1,10,15.0365
1,12.2,14.9217
1,14.5,14.8127
1,17.5,14.6816
1,19.7,14.5842
1,21.2,14.5232
1,23.8,14.4158
1,26.9,14.2865
1,30,14.1817
1,35.5,13.9833
1,33.1,14.059
1,0,15.5584
2,35.5,13.9507
2,46.1,13.5649
2,54.3,13.3184
2,62.4,13.0825
2,68.1,12.9196
2,73.2,12.7749
2,78.4,12.6526
2,84.3,12.5133
2,88.8,12.4096
2,94,12.2937
2,100,12.1408
2,108,11.9969
2,116,11.8289
