volume_a3_conventional_cell,shock_pressure_gpa,particle_velocity_m_s
61.17057107,25.527,365
59.29104387,35.921,489
57.1691577,51.037,650
50.17319275,135.751,1360
49.55930808,138.064,1395
47.67742335,188.916,1713
47.54401388,188.773,1718
47.52329001,189.897,1724
47.46122666,189.333,1724
47.78364405,190.4,1704
56.54166667,58.37478,710
46.79310345,197.0392756,1780
