run,pressure_gauge,pressure_gpa,lattice_a_angstrom,lattice_c_angstrom
1,ruby,1.8,2.935,4.659
1,ruby,5.2,2.908,4.618
1,ruby,8.64,2.885,4.576
1,ruby,10,2.875,4.561
