source_order,pressure_gpa,pressure_ruby_after_heating_gpa,pressure_pt_after_heating_gpa,a_angstrom,a_standard_deviation_angstrom,b_angstrom,b_standard_deviation_angstrom,c_angstrom,c_standard_deviation_angstrom,volume_a3_conventional_cell,volume_standard_deviation_a3,observation_kind,fit_included
1,0.0,,,2.778,0.002,9.211,0.011,9.394,0.003,240.3,0.4,recovered_ambient,1
2,64.3,65.2,63.4,2.598,0.003,8.591,0.014,8.761,0.004,195.540421098,0.400619483,in_situ_after_heating,1
