experiment,run_number,phase,measurement_sequence,unit_cell_volume_a3,unit_cell_volume_standard_error_a3
DAC-2,30,hcp-Fe,,20.34513,0.03608
DAC-2,30,MgO,,67.28138,0.09081
DAC-2,30,NaCl-B1,,125.37290,0.08491
DAC-2,30,Pt,last,56.59755,0.02936
DAC-2,31,Pt,first,56.56202,0.02855
DAC-2,31,Ta,,32.78559,0.01738
DAC-2,31,Cu,,42.07066,0.05191
DAC-2,31,Au,,61.90979,0.07540
DAC-2,31,W,,29.91254,0.01027
DAC-2,31,Mo,,29.03442,0.03147
DAC-2,31,hcp-Fe,,20.33306,0.05002
DAC-2,31,MgO,,67.25244,0.16034
DAC-2,31,NaCl-B1,,125.09865,0.10293
DAC-2,31,Pt,last,56.57910,0.02911
DAC-2,32,Pt,first,56.35038,0.05599
DAC-2,32,Ta,,32.64600,0.01206
DAC-2,32,Cu,,41.80335,0.05272
DAC-2,32,Au,,61.59383,0.07125
DAC-2,32,W,,29.82172,0.01585
DAC-2,32,Mo,,28.95920,0.02433
DAC-2,32,hcp-Fe,,20.22077,0.01571
DAC-2,32,MgO,,66.83494,0.04367
DAC-2,32,NaCl-B1,,123.78621,0.14385
DAC-2,32,Pt,last,56.33411,0.05511
DAC-2,33,Pt,first,56.33704,0.05642
DAC-2,33,Ta,,32.63599,0.01429
DAC-2,33,Cu,,41.79761,0.05472
DAC-2,33,Au,,61.58513,0.07401
DAC-2,33,W,,29.82056,0.01650
DAC-2,33,Mo,,28.95091,0.02086
DAC-2,33,hcp-Fe,,20.21878,0.00759
DAC-2,33,MgO,,66.79681,0.08606
DAC-2,33,NaCl-B1,,123.61149,0.08717
DAC-2,33,Pt,last,56.32148,0.05534
DAC-2,34,Pt,first,56.30338,0.05479
DAC-2,34,Ta,,32.61628,0.01537
DAC-2,34,Cu,,41.77661,0.05521
DAC-2,34,Au,,61.57069,0.07890
DAC-2,34,W,,29.81549,0.01989
DAC-2,34,Mo,,28.94049,0.01983
DAC-2,34,hcp-Fe,,20.19815,0.01448
DAC-2,34,MgO,,66.78447,0.06855
DAC-2,34,NaCl-B1,,123.33265,0.09583
DAC-2,34,Pt,last,56.29219,0.05597
DAC-2,35,Pt,first,56.28118,0.05560
DAC-2,35,Ta,,32.59674,0.01584
DAC-2,35,Cu,,41.74471,0.05451
DAC-2,35,Au,,61.54868,0.09025
DAC-2,35,W,,29.80515,0.02460
DAC-2,35,Mo,,28.92049,0.02057
DAC-2,35,hcp-Fe,,20.19154,0.01205
DAC-2,35,MgO,,66.72313,0.07610
DAC-2,35,NaCl-B1,,123.26600,0.08441
DAC-2,35,Pt,last,56.26234,0.05630
DAC-2,36,Pt,first,56.25348,0.05776
DAC-2,36,Ta,,32.57243,0.01267
DAC-2,36,Cu,,41.72100,0.05972
DAC-2,36,Au,,61.51031,0.09145
DAC-2,36,W,,29.78981,0.04958
DAC-2,36,Mo,,28.90686,0.02616
DAC-2,36,hcp-Fe,,20.17604,0.01995
DAC-2,36,MgO,,66.67327,0.12455
DAC-2,36,NaCl-B1,,123.05166,0.08481
DAC-2,36,Pt,last,56.23908,0.05792
DAC-2,37,Pt,first,56.21991,0.05870
DAC-2,37,Ta,,32.53824,0.01408
DAC-2,37,Cu,,41.67636,0.05416
DAC-2,37,Au,,61.46583,0.09003
DAC-2,37,W,,29.76920,0.04620
DAC-2,37,Mo,,28.88569,0.02758
DAC-2,37,hcp-Fe,,20.16536,0.01656
DAC-2,37,MgO,,66.65353,0.03090
DAC-2,37,NaCl-B1,,122.77876,0.07909
DAC-2,37,Pt,last,56.20073,0.05802
DAC-2,38,Pt,first,56.17300,0.04540
DAC-2,38,Ta,,32.50549,0.01654
DAC-2,38,Cu,,41.62228,0.05209
DAC-2,38,Au,,61.40945,0.08626
DAC-2,38,W,,29.74896,0.05348
DAC-2,38,Mo,,28.87201,0.03173
DAC-2,38,hcp-Fe,,20.13750,0.01776
DAC-2,38,MgO,,66.54072,0.07094
DAC-2,38,NaCl-B1,,122.43880,0.09609
DAC-2,38,Pt,last,56.14803,0.04770
DAC-2,39,Pt,first,56.12510,0.03567
DAC-2,39,Ta,,32.46214,0.01718
DAC-2,39,Cu,,41.56167,0.05104
DAC-2,39,Au,,61.34757,0.09728
DAC-2,39,W,,29.72579,0.05047
DAC-2,39,Mo,,28.82179,0.03460
DAC-2,39,hcp-Fe,,20.11781,0.00989
DAC-2,39,MgO,,66.48770,0.08709
DAC-2,39,NaCl-B1,,122.01870,0.06315
DAC-2,39,Pt,last,56.09951,0.03958
DAC-2,40,Pt,first,56.07755,0.03008
DAC-2,40,Ta,,32.41412,0.01562
DAC-2,40,Cu,,41.50789,0.05695
DAC-2,40,Au,,61.27970,0.10768
DAC-2,40,W,,29.69564,0.10874
DAC-2,40,Mo,,28.80183,0.02914
DAC-2,40,hcp-Fe,,20.09203,0.01055
DAC-2,40,MgO,,66.35331,0.09080
DAC-2,40,NaCl-B1,,121.63197,0.08106
DAC-2,40,Pt,last,56.04964,0.03532
DAC-2,41,Pt,first,56.02416,0.02674
DAC-2,41,Ta,,32.36620,0.01389
DAC-2,41,Cu,,41.44443,0.05542
DAC-2,41,Au,,61.21036,0.10716
DAC-2,41,W,,29.67061,0.14145
DAC-2,41,Mo,,28.77743,0.03321
DAC-2,41,hcp-Fe,,20.06632,0.01955
DAC-2,41,MgO,,66.26680,0.07939
DAC-2,41,NaCl-B1,,121.27823,0.09867
DAC-2,41,Pt,last,56.00268,0.02890
DAC-2,42,Pt,first,55.96950,0.02436
DAC-2,42,Ta,,32.32167,0.01359
DAC-2,42,Cu,,41.37410,0.05072
DAC-2,42,Au,,61.12721,0.11291
DAC-2,42,W,,29.64071,0.06746
DAC-2,42,Mo,,28.73851,0.03747
DAC-2,42,hcp-Fe,,20.04208,0.01867
DAC-2,42,MgO,,66.19966,0.06928
DAC-2,42,NaCl-B1,,120.85924,0.10430
DAC-2,42,Pt,last,55.94463,0.02911
DAC-2,43,Pt,first,55.91386,0.02425
DAC-2,43,Ta,,32.27213,0.01838
DAC-2,43,Cu,,41.31176,0.04618
DAC-2,43,Au,,61.04878,0.11711
DAC-2,43,W,,29.61180,0.07995
DAC-2,43,Mo,,28.71473,0.03393
DAC-2,43,hcp-Fe,,20.01231,0.01499
DAC-2,43,MgO,,66.08217,0.07086
DAC-2,43,NaCl-B1,,120.41257,0.07052
DAC-2,43,Pt,last,55.89420,0.02634
DAC-2,44,Pt,first,55.85484,0.02594
DAC-2,44,Ta,,32.22038,0.01280
DAC-2,44,Cu,,41.24800,0.04905
DAC-2,44,Au,,60.97372,0.11694
DAC-2,44,W,,29.58213,0.05378
DAC-2,44,Mo,,28.69401,0.03511
DAC-2,44,hcp-Fe,,19.97635,0.02355
DAC-2,44,MgO,,65.91513,0.07634
DAC-2,44,NaCl-B1,,119.98508,0.09174
DAC-2,44,Pt,last,55.83781,0.02792
DAC-2,45,Pt,first,55.79906,0.02610
DAC-2,45,Ta,,32.17425,0.01121
DAC-2,45,Cu,,41.18405,0.04697
DAC-2,45,Au,,60.88848,0.11895
DAC-2,45,W,,29.55181,0.04905
DAC-2,45,Mo,,28.65290,0.03524
DAC-2,45,hcp-Fe,,19.95399,0.01601
DAC-2,45,MgO,,65.82321,0.07588
DAC-2,45,NaCl-B1,,119.59331,0.06390
DAC-2,45,Pt,last,55.79104,0.02840
DAC-2,46,Pt,first,55.74188,0.02956
DAC-2,46,Ta,,32.13102,0.01062
DAC-2,46,Cu,,41.11599,0.04353
DAC-2,46,Au,,60.81893,0.12234
DAC-2,46,W,,29.52071,0.07945
DAC-2,46,Mo,,28.60605,0.03432
DAC-2,46,hcp-Fe,,19.92564,0.02088
DAC-2,46,MgO,,65.80916,0.03893
DAC-2,46,NaCl-B1,,119.17323,0.03879
DAC-2,46,Pt,last,55.73726,0.03376
DAC-2,47,Pt,first,55.69093,0.03311
DAC-2,47,Ta,,32.08786,0.01068
DAC-2,47,Cu,,41.05475,0.04035
DAC-2,47,Au,,60.74295,0.12742
DAC-2,47,W,,29.49241,0.10431
DAC-2,47,Mo,,28.58081,0.03328
DAC-2,47,hcp-Fe,,19.89684,0.01694
DAC-2,47,MgO,,65.64863,0.10153
DAC-2,47,NaCl-B1,,118.76976,0.06616
DAC-2,47,Pt,last,55.68730,0.03316
DAC-2,48,Pt,first,55.63277,0.03259
DAC-2,48,Ta,,32.04239,0.01141
DAC-2,48,Cu,,40.98927,0.03953
DAC-2,48,Au,,60.67019,0.13071
DAC-2,48,W,,29.46282,0.09382
DAC-2,48,Mo,,28.54731,0.03781
DAC-2,48,hcp-Fe,,19.88018,0.03492
DAC-2,48,MgO,,65.50181,0.10361
DAC-2,48,NaCl-B1,,118.32222,0.10853
DAC-2,48,Pt,last,55.63170,0.03304
DAC-2,49,Pt,first,55.57473,0.03206
DAC-2,49,Ta,,32.00761,0.01593
DAC-2,49,Cu,,40.93541,0.03844
DAC-2,49,Au,,60.58613,0.14012
DAC-2,49,W,,29.43542,0.12444
DAC-2,49,Mo,,28.50734,0.03870
DAC-2,49,hcp-Fe,,19.85480,0.03237
DAC-2,49,MgO,,65.47015,0.05584
DAC-2,49,NaCl-B1,,117.98005,0.06048
DAC-2,49,Pt,last,55.57993,0.03509
DAC-2,50,Pt,first,55.52633,0.03747
DAC-2,50,Ta,,31.96476,0.02180
DAC-2,50,Cu,,40.87942,0.03481
DAC-2,50,Au,,60.51666,0.13580
DAC-2,50,W,,29.40459,0.07262
DAC-2,50,Mo,,28.48683,0.03489
DAC-2,50,hcp-Fe,,19.83082,0.01789
DAC-2,50,MgO,,65.40929,0.05883
DAC-2,50,NaCl-B1,,117.62534,0.10214
DAC-2,50,Pt,last,55.53362,0.04100
DAC-2,51,Pt,first,55.47702,0.03955
DAC-2,51,Ta,,31.93105,0.02159
DAC-2,51,Cu,,40.81699,0.03211
DAC-2,51,Au,,60.44494,0.14125
DAC-2,51,W,,29.37708,0.11585
DAC-2,51,Mo,,28.45556,0.03513
DAC-2,51,hcp-Fe,,19.80481,0.01050
DAC-2,51,MgO,,65.24695,0.12819
DAC-2,51,NaCl-B1,,117.24718,0.14202
DAC-2,51,Pt,last,55.49384,0.04276
DAC-2,52,Pt,first,55.41813,0.03194
DAC-2,52,Ta,,31.87729,0.01947
DAC-2,52,Cu,,40.75925,0.03228
DAC-2,52,Au,,60.37478,0.13928
DAC-2,52,W,,29.34978,0.12336
DAC-2,52,Mo,,28.41957,0.03215
DAC-2,52,hcp-Fe,,19.78266,0.02303
DAC-2,52,MgO,,65.17557,0.18137
DAC-2,52,NaCl-B1,,116.98160,0.09341
DAC-2,52,Pt,last,55.42817,0.03142
DAC-2,53,Pt,first,55.35490,0.03069
DAC-2,53,Ta,,31.83273,0.01921
DAC-2,53,Cu,,40.70183,0.03294
DAC-2,53,Au,,60.30312,0.14670
DAC-2,53,W,,29.31824,0.10550
DAC-2,53,Mo,,28.39289,0.02895
DAC-2,53,hcp-Fe,,19.75951,0.04070
DAC-2,53,MgO,,65.10822,0.15196
DAC-2,53,NaCl-B1,,116.64219,0.12574
DAC-2,53,Pt,last,55.38886,0.02562
DAC-2,54,Pt,first,55.29813,0.02237
DAC-2,54,Ta,,31.78397,0.01559
DAC-2,54,Cu,,40.63672,0.02792
DAC-2,54,Au,,60.22774,0.15002
DAC-2,54,W,,29.28734,0.68240
DAC-2,54,Mo,,28.35500,0.02567
DAC-2,54,hcp-Fe,,19.73076,0.02198
DAC-2,54,MgO,,65.03279,0.07937
DAC-2,54,NaCl-B1,,116.23462,0.18341
DAC-2,54,Pt,last,55.34036,0.02453
DAC-2,55,Pt,first,55.25312,0.02014
DAC-2,55,Ta,,31.74753,0.01550
DAC-2,55,Cu,,40.57150,0.02780
DAC-2,55,Au,,60.15893,0.14487
DAC-2,55,W,,29.25836,0.55454
DAC-2,55,Mo,,28.33552,0.03328
DAC-2,55,hcp-Fe,,19.70968,0.04058
DAC-2,55,MgO,,64.85335,0.11093
DAC-2,55,NaCl-B1,,115.96851,0.19378
DAC-2,55,Pt,last,55.29130,0.02136
DAC-2,56,Pt,first,55.19933,0.02561
DAC-2,56,Ta,,31.70711,0.01785
DAC-2,56,Cu,,40.52918,0.03028
DAC-2,56,Au,,60.09454,0.14285
DAC-2,56,W,,29.23389,0.03440
DAC-2,56,Mo,,28.30473,0.03015
DAC-2,56,hcp-Fe,,19.69317,0.03414
DAC-2,56,MgO,,64.85826,0.15798
DAC-2,56,NaCl-B1,,115.70888,0.14813
DAC-2,56,Pt,last,55.23945,0.02361
DAC-2,57,Pt,first,55.14886,0.02438
DAC-2,57,Ta,,31.67012,0.01645
DAC-2,57,Cu,,40.46560,0.03022
DAC-2,57,Au,,60.02821,0.13988
DAC-2,57,W,,29.20816,0.03463
DAC-2,57,Mo,,28.27629,0.03189
DAC-2,57,hcp-Fe,,19.67394,0.02405
DAC-2,57,MgO,,64.74991,0.04644
DAC-2,57,NaCl-B1,,115.72874,0.31029
DAC-2,57,Pt,last,55.19493,0.02224
DAC-2,58,Pt,first,55.09181,0.02068
DAC-2,58,Ta,,31.63126,0.01787
DAC-2,58,Cu,,40.41588,0.03158
DAC-2,58,Au,,59.96302,0.13330
DAC-2,58,W,,29.18168,0.03378
DAC-2,58,Mo,,28.25520,0.03435
DAC-2,58,hcp-Fe,,19.64828,0.02953
DAC-2,58,MgO,,64.62653,0.13531
DAC-2,58,NaCl-B1,,115.59975,0.40853
DAC-2,58,Pt,last,55.14010,0.02686
DAC-2,59,Pt,first,55.04715,0.02315
DAC-2,59,Ta,,31.59426,0.01183
DAC-2,59,Cu,,40.36075,0.02773
DAC-2,59,Au,,59.89768,0.14366
DAC-2,59,W,,29.15554,0.03464
DAC-2,59,Mo,,28.22772,0.03763
DAC-2,59,hcp-Fe,,19.63064,0.02298
DAC-2,59,MgO,,64.57142,0.11033
DAC-2,59,NaCl-B1,,115.28006,0.41147
DAC-2,59,Pt,last,55.08477,0.02391
DAC-2,60,Pt,first,54.99982,0.02345
DAC-2,60,Ta,,31.56056,0.02052
DAC-2,60,Cu,,40.30920,0.03094
DAC-2,60,Au,,59.83201,0.14157
DAC-2,60,W,,29.12727,0.03639
DAC-2,60,Mo,,28.19993,0.03677
DAC-2,60,hcp-Fe,,19.61206,0.05029
DAC-2,60,MgO,,64.53828,0.14527
DAC-2,60,NaCl-B1,,114.89221,0.36569
DAC-2,60,Pt,last,55.03225,0.02292
DAC-2,61,Pt,first,54.96000,0.02454
DAC-2,61,Ta,,31.52451,0.01809
DAC-2,61,Cu,,40.25328,0.03114
DAC-2,61,Au,,59.76484,0.15125
DAC-2,61,W,,29.09934,0.03747
DAC-2,61,Mo,,28.16685,0.03737
DAC-2,61,hcp-Fe,,19.60008,0.07342
DAC-2,61,MgO,,64.38294,0.05142
DAC-2,61,NaCl-B1,,114.40379,0.16390
DAC-2,61,Pt,last,54.99620,0.02409
DAC-2,62,Pt,first,54.91998,0.02631
DAC-2,62,Ta,,31.49136,0.01816
DAC-2,62,Cu,,40.20166,0.03734
DAC-2,62,Au,,59.70182,0.16519
DAC-2,62,W,,29.07262,0.04150
DAC-2,62,Mo,,28.14552,0.03249
DAC-2,62,hcp-Fe,,19.58082,0.07128
DAC-2,62,MgO,,64.25969,0.19825
DAC-2,62,NaCl-B1,,114.03184,0.17237
DAC-2,62,Pt,last,54.95307,0.02658
DAC-2,63,Pt,first,54.87545,0.02808
DAC-2,63,Ta,,31.45065,0.01854
DAC-2,63,Cu,,40.14602,0.03442
DAC-2,63,Au,,59.63931,0.16660
DAC-2,63,W,,29.04827,0.04273
DAC-2,63,Mo,,28.11432,0.03367
DAC-2,63,hcp-Fe,,19.55358,0.02364
DAC-2,63,MgO,,64.23087,0.18586
DAC-2,63,NaCl-B1,,113.86210,0.26152
DAC-2,63,NaCl-B2,,27.22842,0.01111
DAC-2,63,Pt,last,54.91029,0.02727
DAC-2,64,Pt,first,54.82481,0.02768
DAC-2,64,Ta,,31.41333,0.01840
DAC-2,64,Cu,,40.09257,0.03615
DAC-2,64,Au,,59.57441,0.16126
DAC-2,64,W,,29.02695,0.04447
DAC-2,64,Mo,,28.08573,0.03334
DAC-2,64,hcp-Fe,,19.53090,0.02539
DAC-2,64,MgO,,64.10753,0.06630
DAC-2,64,NaCl-B1,,113.69976,0.60804
DAC-2,64,NaCl-B2,,27.17867,0.02697
DAC-2,64,Pt,last,54.86802,0.02625
DAC-2,65,Pt,first,54.77905,0.02134
DAC-2,65,Ta,,31.38184,0.02229
DAC-2,65,Cu,,40.04471,0.03722
DAC-2,65,Au,,59.51599,0.17345
DAC-2,65,W,,29.00378,0.04306
DAC-2,65,Mo,,28.05902,0.03712
DAC-2,65,hcp-Fe,,19.50994,0.02014
DAC-2,65,MgO,,64.09075,0.09716
DAC-2,65,NaCl-B1,,113.05026,0.38341
DAC-2,65,NaCl-B2,,27.11447,0.01297
DAC-2,65,Pt,last,54.82234,0.02525
DAC-2,66,Pt,first,54.73087,0.02049
DAC-2,66,Ta,,31.35045,0.02165
DAC-2,66,Cu,,39.98581,0.03617
DAC-2,66,Au,,59.45208,0.15399
DAC-2,66,W,,28.97629,0.04414
DAC-2,66,Mo,,28.03402,0.03765
DAC-2,66,hcp-Fe,,19.49254,0.03131
DAC-2,66,MgO,,64.01648,0.20882
DAC-2,66,NaCl-B1,,113.11773,0.28502
DAC-2,66,NaCl-B2,,27.05959,0.04731
DAC-2,66,Pt,last,54.77516,0.02392
DAC-2,67,Pt,first,54.68345,0.02210
DAC-2,67,Ta,,31.32067,0.02010
DAC-2,67,Cu,,39.94319,0.03859
DAC-2,67,Au,,59.39078,0.16317
DAC-2,67,W,,28.95819,0.04393
DAC-2,67,Mo,,28.01500,0.04086
DAC-2,67,hcp-Fe,,19.47538,0.03829
DAC-2,67,MgO,,63.97604,0.14837
DAC-2,67,NaCl-B1,,112.43009,0.45029
DAC-2,67,NaCl-B2,,27.00235,0.00879
DAC-2,67,Pt,last,54.72679,0.02468
DAC-2,68,Pt,first,54.64306,0.02092
DAC-2,68,Ta,,31.28636,0.02472
DAC-2,68,Cu,,39.88998,0.03822
DAC-2,68,Au,,59.32748,0.15565
DAC-2,68,W,,28.93300,0.04539
DAC-2,68,Mo,,27.98302,0.04047
DAC-2,68,hcp-Fe,,19.45287,0.04037
DAC-2,68,MgO,,63.87029,0.15952
DAC-2,68,NaCl-B2,,26.95793,0.00857
DAC-2,68,Pt,last,54.68264,0.02120
DAC-2,69,Pt,first,54.41138,0.03391
DAC-2,69,Ta,,31.05044,0.00867
DAC-2,69,Cu,,39.76776,0.04303
DAC-2,69,Au,,58.90304,0.11839
DAC-2,69,W,,28.84864,0.02143
DAC-2,69,Mo,,27.81334,0.03637
DAC-2,69,hcp-Fe,,19.32131,0.02399
DAC-2,69,MgO,,63.57602,0.16831
DAC-2,69,NaCl-B2,,26.63517,0.03393
DAC-2,69,Pt,last,54.41651,0.03504
DAC-2,70,Pt,first,54.42247,0.02270
DAC-2,70,Ta,,31.04546,0.00837
DAC-2,70,Cu,,39.76138,0.04302
DAC-2,70,Au,,58.90186,0.11884
DAC-2,70,W,,28.84772,0.02352
DAC-2,70,Mo,,27.81188,0.03160
DAC-2,70,hcp-Fe,,19.31999,0.02839
DAC-2,70,MgO,,63.52015,0.06675
DAC-2,70,NaCl-B2,,26.63087,0.00718
DAC-2,70,Pt,last,54.42498,0.02395
DAC-2,71,Pt,first,54.41820,0.02344
DAC-2,71,Ta,,31.03986,0.01088
DAC-2,71,Cu,,39.74767,0.04761
DAC-2,71,Au,,58.88387,0.10787
DAC-2,71,W,,28.83973,0.02460
DAC-2,71,Mo,,27.80074,0.03085
DAC-2,71,hcp-Fe,,19.31642,0.02420
DAC-2,71,MgO,,63.54692,0.03644
DAC-2,71,NaCl-B2,,26.62167,0.01905
DAC-2,71,Pt,last,54.42251,0.02249
DAC-2,72,Pt,first,54.41715,0.02099
DAC-2,72,Ta,,31.03753,0.01050
DAC-2,72,Cu,,39.73002,0.04173
DAC-2,72,Au,,58.86634,0.10746
DAC-2,72,W,,28.83144,0.02655
DAC-2,72,Mo,,27.79567,0.02863
DAC-2,72,hcp-Fe,,19.31761,0.03739
DAC-2,72,MgO,,63.43786,0.05986
DAC-2,72,NaCl-B2,,26.60281,0.03083
DAC-2,72,Pt,last,54.41282,0.02147
DAC-2,73,Pt,first,54.40019,0.02595
DAC-2,73,Ta,,31.02588,0.01262
DAC-2,73,Cu,,39.70619,0.04706
DAC-2,73,Au,,58.84928,0.11114
DAC-2,73,W,,28.82182,0.02884
DAC-2,73,Mo,,27.78624,0.03011
DAC-2,73,hcp-Fe,,19.30435,0.01600
DAC-2,73,MgO,,63.44791,0.16317
DAC-2,73,NaCl-B2,,26.58361,0.01202
DAC-2,73,Pt,last,54.39679,0.02681
DAC-2,74,Pt,first,54.37866,0.03304
DAC-2,74,Ta,,31.00924,0.01389
DAC-2,74,Cu,,39.67950,0.04635
DAC-2,74,Au,,58.81878,0.11357
DAC-2,74,W,,28.80951,0.02970
DAC-2,74,Mo,,27.77666,0.03072
DAC-2,74,hcp-Fe,,19.29566,0.01325
DAC-2,74,MgO,,63.35991,0.03310
DAC-2,74,NaCl-B2,,26.56308,0.03005
DAC-2,74,Pt,last,54.38137,0.03236
DAC-2,75,Pt,first,54.35377,0.02981
DAC-2,75,Ta,,30.98171,0.01388
DAC-2,75,Cu,,39.65111,0.04683
DAC-2,75,Au,,58.79488,0.13011
DAC-2,75,W,,28.79194,0.03196
DAC-2,75,Mo,,27.76270,0.02825
DAC-2,75,hcp-Fe,,19.28786,0.03407
DAC-2,75,MgO,,63.36152,0.04175
DAC-2,75,NaCl-B2,,26.52893,0.03352
DAC-2,75,Pt,last,54.34905,0.03314
DAC-2,76,Pt,first,54.32401,0.03570
DAC-2,76,Ta,,30.96065,0.01408
DAC-2,76,Cu,,39.62095,0.05238
DAC-2,76,Au,,58.75544,0.15089
DAC-2,76,W,,28.77610,0.03129
DAC-2,76,Mo,,27.74684,0.02761
DAC-2,76,hcp-Fe,,19.26875,0.01830
DAC-2,76,MgO,,63.28684,0.09048
DAC-2,76,NaCl-B2,,26.49216,0.02367
DAC-2,76,Pt,last,54.32543,0.03201
DAC-2,77,Pt,first,54.29225,0.03921
DAC-2,77,Ta,,30.93970,0.01126
DAC-2,77,Cu,,39.58166,0.05192
DAC-2,77,Au,,58.71821,0.13010
DAC-2,77,W,,28.75681,0.02909
DAC-2,77,Mo,,27.72940,0.02543
DAC-2,77,hcp-Fe,,19.26447,0.04419
DAC-2,77,MgO,,63.25117,0.09199
DAC-2,77,NaCl-B2,,26.44683,0.01534
DAC-2,77,Pt,last,54.28649,0.03845
DAC-2,78,Pt,first,54.25334,0.04416
DAC-2,78,Ta,,30.91209,0.01095
DAC-2,78,Cu,,39.54029,0.05156
DAC-2,78,Au,,58.67278,0.15124
DAC-2,78,W,,28.73677,0.03130
DAC-2,78,Mo,,27.71230,0.02575
DAC-2,78,hcp-Fe,,19.23873,0.02110
DAC-2,78,MgO,,63.18020,0.08892
DAC-2,78,NaCl-B2,,26.40597,0.00605
DAC-2,78,Pt,last,54.25186,0.04350
DAC-2,79,Pt,first,54.21827,0.04155
DAC-2,79,Ta,,30.88591,0.01252
DAC-2,79,Cu,,39.50255,0.05458
DAC-2,79,Au,,58.62734,0.13176
DAC-2,79,W,,28.71740,0.03311
DAC-2,79,Mo,,27.69251,0.02562
DAC-2,79,hcp-Fe,,19.22917,0.00689
DAC-2,79,MgO,,63.07112,0.15314
DAC-2,79,NaCl-B2,,26.36514,0.02650
DAC-2,79,Pt,last,54.21799,0.04089
DAC-2,80,Pt,first,54.18300,0.04290
DAC-2,80,Ta,,30.86724,0.01067
DAC-2,80,Cu,,39.47237,0.05654
DAC-2,80,Au,,58.57953,0.12799
DAC-2,80,W,,28.69822,0.03507
DAC-2,80,Mo,,27.67306,0.02485
DAC-2,80,hcp-Fe,,19.21347,0.01682
DAC-2,80,MgO,,63.03143,0.07358
DAC-2,80,NaCl-B2,,26.32276,0.00663
DAC-2,80,Pt,last,54.17629,0.04507
DAC-2,81,Pt,first,54.14772,0.04893
DAC-2,81,Ta,,30.83423,0.01169
DAC-2,81,Cu,,39.43132,0.05248
DAC-2,81,Au,,58.53584,0.14086
DAC-2,81,W,,28.67773,0.03468
DAC-2,81,Mo,,27.65124,0.02315
DAC-2,81,hcp-Fe,,19.19593,0.00961
DAC-2,81,MgO,,62.93428,0.11892
DAC-2,81,NaCl-B2,,26.28012,0.01246
DAC-2,81,Pt,last,54.15620,0.04771
DAC-2,82,Pt,first,54.11479,0.05135
DAC-2,82,Ta,,30.80927,0.01290
DAC-2,82,Cu,,39.38952,0.05045
DAC-2,82,Au,,58.48465,0.14294
DAC-2,82,W,,28.65649,0.03212
DAC-2,82,Mo,,27.63137,0.02049
DAC-2,82,hcp-Fe,,19.17758,0.02526
DAC-2,82,MgO,,62.85979,0.17133
DAC-2,82,NaCl-B2,,26.21990,0.00467
DAC-2,82,Pt,last,54.12390,0.05010
DAC-2,83,Pt,first,54.07776,0.05002
DAC-2,83,Ta,,30.78542,0.01955
DAC-2,83,Cu,,39.35079,0.04338
DAC-2,83,Au,,58.43146,0.12902
DAC-2,83,W,,28.63719,0.03232
DAC-2,83,Mo,,27.61078,0.02074
DAC-2,83,hcp-Fe,,19.16121,0.04914
DAC-2,83,MgO,,62.76206,0.13187
DAC-2,83,NaCl-B2,,26.17727,0.01500
DAC-2,83,Pt,last,54.07729,0.05040
DAC-2,84,Pt,first,54.04092,0.05537
DAC-2,84,Ta,,30.76221,0.01751
DAC-2,84,Cu,,39.32104,0.04058
DAC-2,84,Au,,58.38157,0.15604
DAC-2,84,W,,28.61876,0.03089
DAC-2,84,Mo,,27.59147,0.02113
DAC-2,84,hcp-Fe,,19.14454,0.03054
DAC-2,84,MgO,,62.76374,0.04787
DAC-2,84,NaCl-B2,,26.12558,0.00916
DAC-2,84,Pt,last,54.04820,0.04738
DAC-2,85,Pt,first,53.99769,0.04563
DAC-2,85,Ta,,30.72912,0.01254
DAC-2,85,Cu,,39.27597,0.04641
DAC-2,85,Au,,58.33476,0.16034
DAC-2,85,W,,28.59663,0.03123
DAC-2,85,Mo,,27.57558,0.01404
DAC-2,85,hcp-Fe,,19.13931,0.05799
DAC-2,85,MgO,,62.68436,0.08758
DAC-2,85,NaCl-B2,,26.08489,0.00637
DAC-2,85,Pt,last,54.01007,0.04387
DAC-2,86,Pt,first,53.97351,0.03850
DAC-2,86,Ta,,30.70546,0.01671
DAC-2,86,Cu,,39.23759,0.04955
DAC-2,86,Au,,58.28645,0.13722
DAC-2,86,W,,28.58075,0.03043
DAC-2,86,Mo,,27.55417,0.01760
DAC-2,86,hcp-Fe,,19.11682,0.04691
DAC-2,86,MgO,,62.58780,0.09314
DAC-2,86,NaCl-B2,,26.03376,0.03100
DAC-2,86,Pt,last,53.97113,0.04066
DAC-2,87,Pt,first,53.94344,0.03632
DAC-2,87,Ta,,30.68095,0.01681
DAC-2,87,Cu,,39.19918,0.04762
DAC-2,87,Au,,58.23445,0.14428
DAC-2,87,W,,28.56152,0.02975
DAC-2,87,Mo,,27.53509,0.01419
DAC-2,87,hcp-Fe,,19.10361,0.06574
DAC-2,87,MgO,,62.48156,0.08688
DAC-2,87,NaCl-B2,,25.98611,0.00837
DAC-2,87,Pt,last,53.94636,0.04480
DAC-2,88,Pt,first,53.92194,0.05035
DAC-2,88,Ta,,30.66241,0.01701
DAC-2,88,Cu,,39.16458,0.05044
DAC-2,88,Au,,58.18856,0.12418
DAC-2,88,W,,28.54069,0.03060
DAC-2,88,Mo,,27.51664,0.01205
DAC-2,88,hcp-Fe,,19.09090,0.05964
DAC-2,88,MgO,,62.41621,0.15180
