temperature_k,volume_a3_conventional_cell
293,60.36895182
400,60.54497739
500,60.71552703
600,60.89076813
700,61.07036116
800,61.25469585
900,61.4441655
1000,61.63990174
1100,61.8421264
1200,62.05143306
1300,62.26805197
1400,62.492402
1500,62.7247215
1600,62.96581133
1700,63.21704238
1800,63.48092588
1900,63.76131909
