pressure_gpa,volume_a3_conventional_cell,pressure_digitization_uncertainty_gpa,volume_digitization_uncertainty_a3
1.073,376.058,0.4,0.8
4.667,367.561,0.4,0.8
7.391,362.927,0.4,0.8
8.493,359.580,0.4,0.8
18.638,343.746,0.4,0.8
25.652,332.803,0.4,0.8
27.971,329.456,0.4,0.8
30.000,325.980,0.4,0.8
31.768,322.890,0.4,0.8
34.725,319.799,0.4,0.8
38.319,315.165,0.4,0.8
39.594,313.491,0.4,0.8
42.087,311.302,0.4,0.8
