volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.82,134.6932,134.66,1000,69.5665874242713,69.6
0.82,134.6932,134.66,1500,73.2381554937431,73.3
0.82,134.6932,134.66,2000,76.9844299916155,77.1
0.82,134.6932,134.66,2500,80.7612552977552,81
0.82,134.6932,134.66,3000,84.5534904051122,84.9
0.82,134.6932,134.66,3500,88.3545684984977,88.8
0.82,134.6932,134.66,4000,92.1611861594239,92.7
0.82,134.6932,134.66,4500,95.9715018030875,96.6
0.82,134.6932,134.66,5000,99.7844081454528,100.5
0.81,133.0506,133.02,300,71.0413125270268,71.3
0.81,133.0506,133.02,1000,75.491035845117,75.6
0.81,133.0506,133.02,1500,79.172502499498,79.3
0.81,133.0506,133.02,2000,82.9311745359617,83.1
0.81,133.0506,133.02,2500,86.7214415808227,87
0.81,133.0506,133.02,3000,90.5276498773619,90.9
0.81,133.0506,133.02,3500,94.3430075424034,94.8
0.81,133.0506,133.02,4000,98.1640972143716,98.7
0.81,133.0506,133.02,4500,101.989013546582,102.6
0.81,133.0506,133.02,5000,105.81661082387,106.5
0.8,131.408,131.38,300,77.3091317833509,77.6
0.8,131.408,131.38,1000,81.7540737065184,81.9
0.8,131.408,131.38,1500,85.4462676070575,85.6
0.8,131.408,131.38,2000,89.2182760161456,89.5
0.8,131.408,131.38,2500,93.0229709730688,93.3
0.8,131.408,131.38,3000,96.8441630098191,97.3
0.8,131.408,131.38,3500,100.674824936922,101.2
0.8,131.408,131.38,4000,104.511420222861,105.1
0.8,131.408,131.38,4500,108.351976819431,109
0.8,131.408,131.38,5000,112.195308802764,113
0.79,129.7654,129.74,300,83.9343871840596,84.3
0.79,129.7654,129.74,1000,88.3750362027748,88.6
0.79,129.7654,129.74,1500,92.0788061904752,92.3
0.79,129.7654,129.74,2000,95.8651164497301,96.2
0.79,129.7654,129.74,2500,99.6852549958848,100.1
0.79,129.7654,129.74,3000,103.522472319021,104
0.79,129.7654,129.74,3500,107.36949506433,107.9
0.79,129.7654,129.74,4000,111.22266198377,111.9
0.79,129.7654,129.74,4500,115.079931207177,115.8
0.79,129.7654,129.74,5000,118.940074714699,119.8
0.78,128.1228,128.09,300,90.9377461624949,91.5
0.78,128.1228,128.09,1000,95.3745872116956,95.7
0.78,128.1228,128.09,1500,99.09080301737,99.4
0.78,128.1228,128.09,2000,102.892408417699,103.3
0.78,128.1228,128.09,2500,106.729037114491,107.2
0.78,128.1228,128.09,3000,110.583353757098,111.1
0.78,128.1228,128.09,3500,114.447827299753,115.1
0.78,128.1228,128.09,4000,118.318665887693,119
0.78,128.1228,128.09,4500,122.193754513988,123
0.78,128.1228,128.09,5000,126.071821057538,127
0.77,126.4802,126.45,300,98.3413145120924,99
0.77,126.4802,126.45,1000,102.774828215715,103.2
0.77,126.4802,126.45,1500,106.50438119492,106.9
0.77,126.4802,126.45,2000,110.322304073361,110.8
0.77,126.4802,126.45,2500,114.176501827901,114.7
0.77,126.4802,126.45,3000,118.049025892559,118.7
0.77,126.4802,126.45,3500,121.932075288558,122.7
0.77,126.4802,126.45,4000,125.821721294653,126.6
0.77,126.4802,126.45,4500,129.715772243186,130.6
0.77,126.4802,126.45,5000,133.612909779553,134.6
0.76,124.8376,124.81,300,106.168755831128,107
0.76,124.8376,124.81,1000,110.599417677096,111.2
0.76,124.8376,124.81,1500,114.343221570187,114.9
0.76,124.8376,124.81,2000,118.178514609438,118.8
0.76,124.8376,124.81,2500,122.051394222728,122.7
0.76,124.8376,124.81,3000,125.943269561564,126.7
0.76,124.8376,124.81,3500,129.846056701485,130.7
0.76,124.8376,124.81,4000,133.755683397168,134.7
0.76,124.8376,124.81,4500,137.669877571002,138.7
0.76,124.8376,124.81,5000,141.587272365819,142.7
0.75,123.195,123.17,300,114.445422583229,115.4
0.75,123.195,123.17,1000,118.873702022533,119.6
0.75,123.195,123.17,1500,122.632693739951,123.4
0.75,123.195,123.17,2000,126.486441338758,127.3
0.75,123.195,123.17,2500,130.379151146704,131.2
0.75,123.195,123.17,3000,134.29155914613,135.2
0.75,123.195,123.17,3500,138.215284624582,139.2
0.75,123.195,123.17,4000,142.146104726414,143.2
0.75,123.195,123.17,4500,146.081662972028,147.2
0.75,123.195,123.17,5000,150.020541585107,151.3
0.74,121.5524,121.52,300,123.19850007463,124.4
0.74,121.5524,121.52,1000,127.624859537507,128.6
0.74,121.5524,121.52,1500,131.399999970223,132.3
0.74,121.5524,121.52,2000,135.273319688985,136.2
0.74,121.5524,121.52,2500,139.187045302835,140.2
