volume_ratio,experimental_fit_volume_a3,theoretical_fit_volume_a3,temperature_k,experimental_fit_pressure_gpa,theoretical_fit_pressure_gpa
0.42,68.9892,68.97,4500,1077.2254889977,1196.8
0.42,68.9892,68.97,5000,1083.04073268111,1202.4
0.41,67.3466,67.33,300,1108.84088162923,1248.2
0.41,67.3466,67.33,1000,1113.29307576751,1251.8
0.41,67.3466,67.33,1500,1118.3463582355,1256.3
0.41,67.3466,67.33,2000,1123.84396779737,1261.4
0.41,67.3466,67.33,2500,1129.53679142168,1266.8
0.41,67.3466,67.33,3000,1135.33122368585,1272.2
0.41,67.3466,67.33,3500,1141.18494264022,1277.8
0.41,67.3466,67.33,4000,1147.07616905603,1283.4
0.41,67.3466,67.33,4500,1152.99259236458,1289
0.41,67.3466,67.33,5000,1158.92674331542,1294.7
0.4,65.704,65.69,300,1190.37068658258,1348.6
0.4,65.704,65.69,1000,1194.81572114215,1352.2
0.4,65.704,65.69,1500,1199.93702490336,1356.8
0.4,65.704,65.69,2000,1205.53027050558,1362
0.4,65.704,65.69,2500,1211.3317472322,1367.4
0.4,65.704,65.69,3000,1217.24181488299,1373
0.4,65.704,65.69,3500,1223.21530829905,1378.6
0.4,65.704,65.69,4000,1229.22895249767,1384.3
0.4,65.704,65.69,4500,1235.26958010438,1390
0.4,65.704,65.69,5000,1241.32919746766,1395.8
