run,pressure_gpa,volume_a3_per_formula_unit
1,0.72,60.263
1,1.32,58.57
1,2.0,57.001
1,2.5,55.856
2,0.2,61.698
2,0.29,61.412
2,0.44,60.857
2,0.57,60.513
2,0.85,59.785
2,1.2,58.991
2,1.4,58.38
2,1.5,58.127
2,1.7,57.742
2,1.8,57.337
2,2.1,56.742
2,2.4,56.271
3,0.16,61.704
3,0.27,61.322
3,0.37,61.038
3,0.64,60.193
3,0.9,59.513
3,1.34,58.428
3,1.64,57.762
3,2.24,56.489
3,2.56,56.075
4,1.0,58.889
4,1.08,58.861
4,2.12,56.585
4,2.3,56.293
4,2.4,56.063
