source_table,source_row,source_reference_as_published,data_class,dynamic_path,pressure_gpa_raw,pressure_uncertainty_gpa_raw,pressure_calibrant,pressure_gpa_fit,pressure_uncertainty_gpa_fit,pressure_scale,pressure_correction_applied,molar_volume_cm3_mol,molar_volume_uncertainty_cm3_mol,volume_a3_conventional_cell,volume_uncertainty_a3_conventional_cell,temperature_k,temperature_uncertainty_k,temperature_provenance,fit1_observed_minus_model_gpa,fit2_observed_minus_model_gpa,fit5_observed_minus_model_gpa,source_cell_note,used_in_fit
Table S1,24,Huang et al. (1987),static_experiment,,14.8,0.01,Au,16.43976588,0.113377696,Fei et al. (2007),1,6.35600028,0.00535178,21.108773551815815,0.0177736795378393,573.0,0.0,experimental_reported,2.34755061236167,2.41592815751752,3.06494217354238,,1
Table S1,25,Huang et al. (1987),static_experiment,,14.8,0.01,Au,16.43976588,0.113377696,Fei et al. (2007),1,6.32000068,0.00538489,20.989216067410553,0.01788364043486755,573.0,0.0,experimental_reported,1.0355206681807,1.10369297563812,1.87457369714875,,1
Table S1,26,Huang et al. (1987),static_experiment,,14.8,0.01,Au,16.64693896,0.122403963,Fei et al. (2007),1,6.49899936,0.00535479,21.58368466963565,0.017783675983023686,723.0,0.0,experimental_reported,6.08436193717669,6.15076998804245,5.92363957768373,,1
Table S1,27,Huang et al. (1987),static_experiment,,15.0,0.01,Au,16.74038056,0.113110679,Fei et al. (2007),1,6.35799892,0.00535178,21.11541119141825,0.0177736795378393,573.0,0.0,experimental_reported,2.71980209630431,2.78819116049227,3.43038917937208,,1
Table S1,28,Huang et al. (1987),static_experiment,,15.1,0.01,Au,16.82049182,0.099529537,Fei et al. (2007),1,6.26399963,0.00536984,20.80323220475504,0.017833658208945617,298.0,0.0,experimental_reported,0.990062184939042,1.06572949483458,2.66943536161396,,1
Table S1,29,Huang et al. (1987),static_experiment,,15.1,0.01,Au,16.84795109,0.122086602,Fei et al. (2007),1,6.45200122,0.00535479,21.427600174526642,0.017783675983023686,723.0,0.0,experimental_reported,4.77529854140247,4.8413589846136,4.78644200815534,,1
Table S1,30,Huang et al. (1987),static_experiment,,15.2,0.01,Au,16.84795109,0.122086602,Fei et al. (2007),1,6.43299909,0.00545713,21.36449261607761,0.01812355511929283,723.0,0.0,experimental_reported,4.14695637188963,4.21287738343687,4.22696353328569,,1
Table S1,31,Huang et al. (1987),static_experiment,,15.4,0.01,Au,16.93620676,0.105193831,Fei et al. (2007),1,6.18499917,0.00530964,20.540865504445634,0.017633729305257886,423.0,0.0,experimental_reported,-2.74186935599246,-2.67033818631248,-1.11332769285792,,1
Table S1,32,Huang et al. (1987),static_experiment,,15.5,0.01,Au,17.12067419,0.099538803,Fei et al. (2007),1,6.2130012,0.00524643,20.63386243399598,0.017423803956385767,298.0,0.0,experimental_reported,-0.771075103537612,-0.695613722346753,1.05738185348023,,1
Table S1,33,Huang et al. (1987),static_experiment,,15.5,0.01,Au,17.12067419,0.099538803,Fei et al. (2007),1,6.21599916,0.00532168,20.64381889339963,0.017673715085995433,298.0,0.0,experimental_reported,-0.647348784158062,-0.57187544753911,1.17246763723553,,1
Table S1,34,Huang et al. (1987),static_experiment,,15.7,0.01,Au,17.14343922,0.112785784,Fei et al. (2007),1,6.33400019,0.00536683,21.035709533963136,0.017823661763761232,573.0,0.0,experimental_reported,2.25433858068834,2.3225901824814,3.04628614006476,,1
Table S1,35,Huang et al. (1987),static_experiment,,15.7,0.01,Au,17.15014022,0.1216322,Fei et al. (2007),1,6.45099889,0.00537887,21.42427135828024,0.01786364754449878,723.0,0.0,experimental_reported,5.04460340844947,5.1106564794505,5.05938864617827,,1
Table S1,36,Huang et al. (1987),static_experiment,,15.9,0.01,Au,17.64532013,0.112390574,Fei et al. (2007),1,6.31100078,0.0053879,20.959326696309237,0.01789363688005194,573.0,0.0,experimental_reported,1.9065480325728,1.97466972924824,2.7757410836935,,1
Table S1,37,Huang et al. (1987),static_experiment,,15.9,0.01,Au,17.84052447,0.104944262,Fei et al. (2007),1,6.231001,0.00524041,20.69364117619861,0.017403811066016996,423.0,0.0,experimental_reported,0.05687746388503,0.128591889971791,1.54578510361728,,1
Table S1,38,Huang et al. (1987),static_experiment,,16.1,0.01,Au,17.84621005,0.112240315,Fei et al. (2007),1,6.30899913,0.00538489,20.95267906026162,0.01788364043486755,573.0,0.0,experimental_reported,2.03267684680263,2.10078732712082,2.90855783812805,,1
Table S1,39,Huang et al. (1987),static_experiment,,16.3,0.01,Au,17.84621005,0.112240315,Fei et al. (2007),1,6.30099855,0.00537285,20.926108508961523,0.017843654654130004,573.0,0.0,experimental_reported,1.73254268286799,1.80060847927433,2.63509850240009,,1
Table S1,40,Huang et al. (1987),static_experiment,,16.3,0.01,Au,17.8543626,0.120637585,Fei et al. (2007),1,6.40400075,0.00535479,21.268186863171227,0.017783675983023686,723.0,0.0,experimental_reported,4.17415453724919,4.23986422428089,4.35850530418421,,1
Table S1,41,Huang et al. (1987),static_experiment,,16.3,0.01,Au,17.8543626,0.120637585,Fei et al. (2007),1,6.38799959,0.00550228,21.21504576057103,0.018273501797058625,723.0,0.0,experimental_reported,3.62310609923753,3.68870001193596,3.86462805790981,,1
Table S1,42,Huang et al. (1987),static_experiment,,16.6,0.01,Au,18.02436245,0.099582113,Fei et al. (2007),1,6.21599916,0.00527352,20.64381889339963,0.01751377196304525,298.0,0.0,experimental_reported,0.256339475841941,0.331812812460893,2.07615589723553,,1
Table S1,43,Huang et al. (1987),static_experiment,,16.6,0.01,Au,18.05637658,0.120375844,Fei et al. (2007),1,6.40500007,0.00538489,21.271505682972446,0.01788364043486755,723.0,0.0,experimental_reported,4.41032796784378,4.47604490583789,4.59109846503707,,1
