pressure_gpa,pressure_uncertainty_gpa,lattice_parameter_a,lattice_parameter_a_uncertainty
6.97,0.59,3.8405,0.0017
7.16,0.59,3.8375,0.0061
9.25,0.65,3.7773,0.0057
9.27,0.67,3.7718,0.0034
12.78,0.79,3.7025,0.0057
15.52,0.88,3.673,0.0094
15.93,0.85,3.6685,0.0017
18.5,0.99,3.6292,0.0063
20.4,1.1,3.6053,0.0079
22.5,1.1,3.5781,0.0059
23.6,1.1,3.5698,0.0034
23.9,1.2,3.5598,0.0066
28.7,1.3,3.5308,0.0012
