run,ruby_pressure_mao_gpa,atomic_volume_a3
4,0,11.0966
4,1.5,11.0018
4,2.6,10.9294
4,5.1,10.807
4,7.8,10.6738
4,8.8,10.6285
4,11.4,10.5131
4,13.0,10.4374
4,15.2,10.3476
4,18.3,10.2132
5,3.5,10.8918
5,6.7,10.7286
5,10.2,10.5433
5,13.6,10.4193
5,16.3,10.3115
5,20.3,10.1537
5,26.4,9.93259
5,30.7,9.79297
5,35.5,9.65309
5,40.6,9.50567
5,45.5,9.36221
5,50.2,9.24947
5,54.8,9.11345
5,58.5,9.0531
5,63.4,8.92911
