pressure_gpa,pressure_uncertainty_gpa,temperature_k,temperature_uncertainty_k,nacl_molar_volume_cm3_mol,nacl_molar_volume_uncertainty_cm3_mol,iron_molar_volume_cm3_mol,iron_molar_volume_uncertainty_cm3_mol,iron_c_over_a,iron_c_over_a_uncertainty,b1_feo_molar_volume_cm3_mol,b1_feo_molar_volume_uncertainty_cm3_mol,b8_feo_molar_volume_cm3_mol,b8_feo_molar_volume_uncertainty_cm3_mol,b8_feo_c_over_a,b8_feo_c_over_a_uncertainty,b1_observation,b8_observation
95.2153318933,1.03698810988,1442.66,106.060905144,12.8144087239,0.0172261847668,5.18270232406,0.0309289912018,1.60129046464,0.00637071751318,8.87401754854,0.0164515462935,,,,,measured,not_reported
95.5796539146,0.452404088034,1384.46,105.474791301,12.8162851295,0.0144053971705,5.17432203539,0.0110838317448,1.60374021631,0.0022902306941,8.82358947487,0.0237083927316,,,,,measured,not_reported
96.3947796058,0.663489866348,2133.3,114.956035074,12.8623238896,0.0277514197564,5.23391147765,0.0165648227839,1.60659947243,0.00338982112571,8.89027342549,0.00985610974884,,,,,measured,not_reported
96.6686980422,0.79177936111,1546.45,107.173235931,12.8288693187,0.0129954371708,5.17773869783,0.0227009737674,1.60161107863,0.00468133976411,8.91587738825,0.0383128826945,,,,,measured,not_reported
97.1843168465,0.812188853149,1674.49,108.660480857,12.83293377,0.0206276004907,5.18394017292,0.0231363630172,1.60117422728,0.00476411724677,8.97420581895,0.0487989837788,,,,,measured,not_reported
97.4384919762,1.0185472328,1717.17,109.183647585,12.8292407673,0.0210103545786,5.18526731903,0.0299143504252,1.60069327096,0.00615637812349,8.87704656938,0.0492694123081,,,,,measured,not_reported
97.5422953595,1.07607515531,1916.02,111.794456034,12.7838012522,0.0380087537082,5.20215734712,0.0314921800036,1.60414779025,0.0064739949976,8.85216260952,0.0279958864675,,,,,measured,not_reported
98.0091825438,1.22157136144,1856.85,110.988389032,12.8310319748,0.0235014283971,5.19226564806,0.0363189432219,1.60311444747,0.00747566047174,8.88039569298,0.0168127636299,,,,,measured,not_reported
98.558782861,1.38473980881,2037.27,113.520539551,12.8254600078,0.0162293033932,5.20349671435,0.041349941277,1.60259911894,0.00849010874757,8.9346307297,0.0420940955093,,,,,measured,not_reported
101.413094113,0.125363835903,300,0,12.3180544228,0.0136163422172,5.04476404209,0.003872274546,1.60369838998,0.000820647626353,,,,,,,rhombohedrally_distorted_detected_no_volume,detected_one_peak_no_volume
105.93234304,0.286621021732,1143.9,103.349939526,12.3847981642,0.0275000171694,5.06245159307,0.00431617671303,1.60619093366,0.000912944223049,8.54746591316,0.0101802129653,,,,,measured,detected_one_peak_no_volume
106.289208904,0.296848066939,1221.5,103.981969591,12.3635579741,0.0295642171791,5.06514340313,0.00432115089306,1.60609967107,0.00091345870862,8.55802445092,0.0103391510495,,,,,measured,detected_one_peak_no_volume
