source_row,pressure_gpa,pressure_sd_gpa,lattice_a_angstrom,lattice_a_sd_angstrom,lattice_b_angstrom,lattice_b_sd_angstrom,lattice_c_angstrom,lattice_c_sd_angstrom,unit_cell_volume_a3,unit_cell_volume_sd_a3
1,0.0001,,5.2614,0.0003,5.2701,0.0005,7.44677,0.00019,206.484,0.018
2,1.445,0.005,5.2498,0.0003,5.2563,0.0005,7.42964,0.00022,205.016,0.019
3,2.393,0.005,5.2406,0.0003,5.2481,0.0004,7.41831,0.00020,204.025,0.017
4,3.982,0.009,5.2280,0.0004,5.2350,0.0006,7.40114,0.00030,202.557,0.024
5,4.980,0.007,5.2206,0.0003,5.2261,0.0005,7.38977,0.00019,201.617,0.017
6,6.102,0.009,5.2120,0.0003,5.2174,0.0007,7.37826,0.00025,200.639,0.024
7,7.098,0.009,5.2050,0.0002,5.2093,0.0003,7.36758,0.00014,199.769,0.012
8,7.639,0.008,5.2011,0.0003,5.2047,0.0006,7.36203,0.00023,199.291,0.020
9,8.553,0.010,5.1948,0.0003,5.1984,0.0004,7.35355,0.00018,198.577,0.015
