Sample/pattern number,T KCl (K),Terr,V (cc/mole),Verr,P (GPa),Perr
B55_473,1258,321,14.97154417,0.004760338,111.9863434,0.976802157
B55_476,1123,276,14.95759459,0.001189615,110.8712005,0.939157021
B55_477,1051,252,14.96109329,0.007118392,110.3548892,0.924643574
B86_112,1236,314,14.92252453,0.020441216,113.9998821,1.161317148
B86_118,1420,375,14.88819604,0.05166149,114.1788485,1.148912563
B86_122,1508,404,14.89701254,0.050020898,114.3409999,1.135129691
B86_126,1639,448,14.91133372,0.047265754,114.9167121,1.17969911
B86_130,1777,494,14.88813016,0.041678479,115.9817455,1.214239388
B86_134,1962,556,14.85319076,0.02274069,116.9577463,1.179933998
B86_136,2037,581,14.9017739,0.039728139,117.2094274,1.202868637
B86_138,2114,606,14.8981442,0.040484866,117.5848123,1.242003413
B86_140,2179,628,14.87016533,0.025956629,118.0122366,1.284492479
B86_144,2377,694,14.88580751,0.029049896,119.431012,1.479532857
B86_146,1726,477,14.85950733,0.028641944,116.0593199,1.168049955
B86_148,1320,342,14.8385917,0.025108849,113.7396648,1.03525033
B86_159,1336,347,14.39635063,0.015009726,129.449055,1.103389238
B86_163,1568,424,14.39220884,0.014284888,130.9166504,1.210505741
B86_165,1724,476,14.42694833,0.034533733,131.4678399,1.263735153
B86_167,1805,503,14.37676437,0.0144313,131.9465822,1.341073459
B86_173,2085,597,14.36909967,0.008169242,133.3617598,1.419991646
B86_175,2277,661,14.3645753,0.008902513,135.2343144,1.620289753
B86_177,2117,607,14.35226169,0.014933854,134.8569093,1.531422437
B86_179,2034,580,14.35549533,0.011156962,134.467476,1.478222529
B86_181,1961,555,14.34713091,0.006957893,134.0655138,1.433177174
B86_183,1804,503,14.35501483,0.012581196,133.2898467,1.336399067
B86_185,1667,457,14.33705672,0.008347365,132.3140583,1.259798387
B86_187,1561,422,14.33852755,0.011548467,131.7013373,1.216206729
B86_189,1450,385,14.31855493,0.007314269,130.8357695,1.153133678
B86_193,1252,319,14.30773488,0.009563628,130.1151638,1.048990025
B86_194,1152,286,14.31177286,0.009900699,129.3885448,1.032937511
B86_203,1288,331,13.97588579,0.015182247,142.7526367,1.053389346
B86_207,1389,365,14.01629642,0.044729852,142.6633701,1.10251592
B86_211,1508,404,13.97003296,0.020598727,143.1494996,1.15580393
B86_215,1738,481,13.98397066,0.021032578,143.7299866,1.259854757
B86_217,1809,505,14.00532676,0.030074955,143.6561137,1.285862371
B86_219,1869,525,14.00482165,0.033746777,143.6026923,1.306239019
B86_221,1928,544,13.96070556,0.030820978,143.731496,1.331879354
B86_225,2048,584,13.99815786,0.036822311,143.9555504,1.358947084
B86_227,2048,584,13.97267001,0.025801216,143.7912601,1.354514052
B86_229,2209,638,13.97959416,0.041467889,145.0641442,1.414035008
B86_231,2271,659,13.96686305,0.030364634,145.9052823,1.445905124
B86_270,1183,296,13.74002616,0.028988648,152.2090478,0.972293872
B86_274,1320,342,13.70541263,0.011609519,152.2488711,1.104733815
B86_278,1539,415,13.76345027,0.028861463,152.1901557,1.220692605
B86_280,1662,456,13.76519902,0.045738554,152.0142064,1.302276814
B86_282,1762,489,13.75836029,0.030768897,152.2444867,1.328431419
B86_284,1893,533,13.75520216,0.042263551,152.4236383,1.40846104
B86_286,2004,570,13.78390454,0.048323834,152.8276253,1.477018808
B86_288,2141,615,13.74914046,0.052411596,154.389815,1.564188696
B86_290,2073,593,13.75433894,0.052770048,155.2186853,1.508323752
B86_292,2001,569,13.71961134,0.041195964,155.5364436,1.461982316
B86_294,1937,547,13.74233406,0.041625612,154.8220334,1.435884574
B86_296,1858,521,13.72556941,0.038261294,154.5065648,1.383767411
B86_298,1784,496,13.70977609,0.031274149,154.5410146,1.345070588
B86_300,1721,475,13.69294479,0.034504645,154.3566232,1.325328673
B86_302,1666,457,13.71109374,0.042376968,154.0979045,1.287065154
B86_306,1563,423,13.70807956,0.030462525,153.6383271,1.230307051
B86_308,1509,405,13.68071978,0.045746293,153.3719347,1.204332057
B86_310,1458,388,13.67881449,0.030528241,153.1837052,1.16341644
B86_312,1387,364,13.69937644,0.029327582,152.8081654,1.137938767
B86_316,1292,332,13.68771731,0.029530228,152.2010458,1.088643592
B86_328,1172,292,13.4453929,0.017268002,162.2267245,1.05851822
B86_332,1328,344,13.4463684,0.015333524,163.0945,1.12712477
B86_336,1539,415,13.44693243,0.018198874,164.3115687,1.246128529
B86_340,1756,487,13.46293709,0.019871113,164.9178118,1.376543885
B86_344,1949,551,13.45425061,0.017740854,166.0564196,1.498320654
B86_348,2112,606,13.4414249,0.015084057,166.7237781,1.588015622
B86_352,2262,656,13.44143636,0.021249464,167.5198165,1.665358322
B86_356,2075,593,13.43472742,0.022349767,167.1404017,1.567492485
B86_360,1960,555,13.41918306,0.014812005,166.642746,1.500464477
B86_364,1842,516,13.41301574,0.014443699,165.9838843,1.420029753
B86_368,1690,465,13.42121751,0.020234689,165.0972764,1.323033068
B86_372,1529,411,13.40880425,0.012845727,164.0514341,1.220196966
B86_376,1373,359,13.41112024,0.019301896,163.2337035,1.13299563
B86_382,1191,299,13.39182404,0.016024855,162.1062552,1.056762938
