source_order,pressure_gpa,molar_volume_cm3_per_mol_namg2al5sio12,molar_volume_cm3_per_mol_o4,volume_a3_conventional_cell,plot_x_pt,plot_y_pt,pressure_digitization_uncertainty_gpa,molar_volume_digitization_uncertainty_cm3_per_mol_namg2al5sio12,molar_volume_digitization_uncertainty_cm3_per_mol_o4,volume_digitization_uncertainty_a3,used_in_published_fit
1,0.0,105.680724565,35.226908188,233.982629049,312.558594,413.496094,0.05,0.06,0.02,0.132843,1
2,10.0,101.205271607,33.735090536,224.073743077,321.738281,431.988281,0.05,0.06,0.02,0.132843,1
3,20.0,97.567429730,32.522476577,216.019371668,330.917969,447.019531,0.05,0.06,0.02,0.132843,1
4,30.0,94.496503726,31.498834575,209.220181531,340.097656,459.708333,0.05,0.06,0.02,0.132843,1
5,40.0,91.838711113,30.612903704,203.335690243,349.277344,470.690104,0.05,0.06,0.02,0.132843,1
6,50.0,89.497622489,29.832540830,198.152398083,358.457031,480.363281,0.05,0.06,0.02,0.132843,1
7,100.0,80.795352514,26.931784171,178.885119060,404.402344,516.320313,0.05,0.06,0.02,0.132843,1
8,150.0,74.892368010,24.964122670,165.815603885,450.300781,540.710937,0.05,0.06,0.02,0.132843,1
