pressure_gpa,volume_ratio,pressure_digitization_uncertainty_gpa,volume_ratio_digitization_uncertainty
0.0000,1.000000,0.20,0.0016
1.8649,0.960231,0.20,0.0016
2.7568,0.942831,0.20,0.0016
4.5541,0.919272,0.20,0.0016
6.7027,0.895173,0.20,0.0016
7.8378,0.879827,0.20,0.0016
8.4324,0.874532,0.20,0.0016
9.7027,0.865130,0.20,0.0016
11.2162,0.855620,0.20,0.0016
13.1351,0.850000,0.20,0.0016
