density_g_cm3,source_isentrope_pressure_gpa,gamma,isentrope_temperature_k,debye_temperature_k,thermal_pressure_correction_gpa,candidate_298k_pressure_gpa,qualification
10.101,23.6,1.5219505190655385,366.70630708189606,422.6966996061453,0.3826138547176254,23.217386145282376,kraus_inherited
10.932,47.1,1.448200292255176,412.1793040133087,475.11272123681726,0.6485268372634736,46.45147316273653,kraus_inherited
11.606,70.7,1.426931625651644,449.1602477532505,517.7400842390655,0.8911958420373891,69.80880415796261,kraus_inherited
12.195,94.2,1.418635928050344,481.9257688136375,555.508394588874,1.1251258671854716,93.07487413281453,kraus_inherited
12.712,117.8,1.4149099009787847,511.1217543882507,589.1621564844434,1.347357331517589,116.45264266848241,kraus_inherited
13.172,141.3,1.4130277369356699,537.4670210248286,619.5299386645255,1.5582811825622978,139.74171881743771,kraus_inherited
13.589,164.9,1.4119816711058053,561.6563464406443,647.4126006790648,1.7601497791946719,163.13985022080533,kraus_inherited
13.975,188.4,1.418448561142238,584.3112902499557,673.5266047008718,1.9658454576648428,186.43415454233516,candidate_digitized_hugoniot
14.336,212.0,1.4182750735114484,605.831234181879,698.3323118841457,2.1588056946731675,209.84119430532684,candidate_digitized_hugoniot
14.675,235.5,1.42420967766857,626.3111460190731,721.9391901260121,2.3573435102106,233.1426564897894,candidate_digitized_hugoniot
14.993,259.1,1.414789495939694,645.6832161197169,744.2690762990698,2.5242443682437194,256.5757556317563,candidate_digitized_hugoniot
15.295,282.6,1.4065178015914979,664.130896683552,765.533432922148,2.6864102141826445,279.91358978581735,candidate_digitized_hugoniot
15.583,306.2,1.3941574338864742,681.7145094169791,785.801791895075,2.8338135871901775,303.36618641280984,candidate_digitized_hugoniot
15.858,329.7,1.3779914922450782,698.4442839593675,805.085944765244,2.9653677148903173,326.7346322851097,candidate_digitized_hugoniot
16.122,353.3,1.3607504292400563,714.4141949411368,823.4942146385251,3.086589925107682,350.21341007489235,candidate_digitized_hugoniot
16.375,376.9,1.3450914637131788,729.6210547946218,841.0229272548745,3.203156845951578,373.6968431540484,candidate_digitized_hugoniot
16.619,400.4,1.3262447765044265,744.1686757994003,857.7917454264899,3.3045997249578987,397.0954002750421,candidate_digitized_hugoniot
16.854,424.0,1.3070663065429928,758.0557668647189,873.7991809329897,3.3971306451238417,420.60286935487613,candidate_digitized_hugoniot
17.082,447.5,1.2884357077090052,771.3923806108652,889.1720897309806,3.4840575403798586,444.01594245962013,candidate_digitized_hugoniot
17.303,471.1,1.2711797869377748,784.1935002360515,903.9277427217573,3.56788554245901,467.532114457541,candidate_digitized_hugoniot
17.518,494.6,1.2542052820389626,796.5162592753959,918.1319968493237,3.6463701113467213,490.9536298886533,candidate_digitized_hugoniot
17.727,518.2,1.2359252854204053,808.3661241632254,931.7911531881474,3.7147994548904126,514.4852005451096,candidate_digitized_hugoniot
17.93,541.7,1.2197841247860324,819.7466878449715,944.9093532709655,3.783456253007293,537.9165437469927,candidate_digitized_hugoniot
18.128,565.3,1.2024670010699803,830.7162678505401,957.5538188142971,3.842919086473295,561.4570809135266,candidate_digitized_hugoniot
18.322,588.8,1.1867036398944923,841.3464544749093,969.8070708460783,3.902487697770459,584.8975123022295,candidate_digitized_hugoniot
18.509,612.4,1.1690311662716923,851.4683402239845,981.4744123051634,3.9491310662212733,608.4508689337787,candidate_digitized_hugoniot
18.693,635.9,1.1532984278903167,861.3083595517377,992.8168506913487,3.997995446631919,631.9020045533681,candidate_digitized_hugoniot
18.873,659.5,1.1382810905333889,870.8182169716662,1003.7787165428434,4.044706320924449,655.4552936790756,candidate_digitized_hugoniot
19.049,683.1,1.122627799701895,880.0048940671072,1014.3680574229911,4.084569990156832,679.0154300098432,candidate_digitized_hugoniot
19.22,706.6,1.1076861059662095,888.8205031824016,1024.5296739703185,4.121925500635483,702.4780744993645,candidate_digitized_hugoniot
19.388,730.2,1.0931514602757288,897.3737267328872,1034.3888427273382,4.156911557581115,726.0430884424189,candidate_digitized_hugoniot
19.554,753.7,1.0787086544227182,905.7193895093669,1044.0087593841192,4.188958967366425,749.5110410326337,candidate_digitized_hugoniot
19.717,777.3,1.0649004740837518,913.81315891852,1053.33832244467,4.219750079148089,773.0802499208519,candidate_digitized_hugoniot
19.877,800.8,1.0520360118051506,921.6630182389474,1062.3867341110015,4.250737861885353,796.5492621381146,candidate_digitized_hugoniot
20.035,824.4,1.0378710146665386,929.3206837008846,1071.2136068834022,4.273434230396423,820.1265657696035,candidate_digitized_hugoniot
20.189,847.9,1.0245275766761897,936.6885168581698,1079.7063944321521,4.295426082035248,843.6045739179648,candidate_digitized_hugoniot
20.341,871.5,1.0114659876874985,943.8679220165208,1087.9819839351505,4.315648377188556,867.1843516228114,candidate_digitized_hugoniot
20.492,895.0,0.9991646945058814,950.9118269531413,1096.1013844241745,4.336772156179634,890.6632278438203,candidate_digitized_hugoniot
20.639,918.6,0.9875024123035222,957.6877600893575,1103.91189795535,4.3570101217961446,914.2429898782038,candidate_digitized_hugoniot
20.786,942.1,0.9764260007325742,964.386106633947,1111.6329786200026,4.378241331949629,937.7217586680504,candidate_digitized_hugoniot
20.93,965.7,0.965727769141383,970.87485030419,1119.1124532868766,4.398234150068967,961.301765849931,candidate_digitized_hugoniot
21.072,989.2,0.9561029161825535,977.2044930824707,1126.4085348115057,4.420795734734072,984.779204265266,candidate_digitized_hugoniot
21.211,1012.8,0.9464886280059782,983.3350836108158,1133.4751718802524,4.440723738924639,1008.3592762610754,candidate_digitized_hugoniot
21.349,1036.4,0.9374336366499629,989.3598380516655,1140.4198133246548,4.46159472946551,1031.9384052705345,candidate_digitized_hugoniot
21.486,1059.9,0.928497823403706,995.2798445934004,1147.2437134826612,4.481401641001923,1055.4185983589982,candidate_digitized_hugoniot
21.622,1083.5,0.9202415932792734,1001.1009494533627,1153.9536111987586,4.5029420390368,1078.9970579609633,candidate_digitized_hugoniot
21.755,1107.0,0.9124326421872526,1006.7416961328504,1160.4556128242755,4.524317593941902,1102.475682406058,candidate_digitized_hugoniot
21.886,1130.6,0.9043169960334035,1012.2469067687817,1166.8013841445522,4.542295478357614,1126.0577045216423,candidate_digitized_hugoniot
22.016,1154.1,0.8970296796230425,1017.66080798576,1173.0419045070757,4.563049587468311,1149.5369504125315,candidate_digitized_hugoniot
22.145,1177.7,0.8899507196579445,1022.9871256347836,1179.181468642779,4.583564687206931,1173.116435312793,candidate_digitized_hugoniot
22.271,1201.2,0.8833858422134727,1028.1458184315384,1185.12781419877,4.60460959085538,1196.5953904091446,candidate_digitized_hugoniot
22.397,1224.8,0.8763262255254168,1033.2620036157846,1191.02516188598,4.622282651532365,1220.1777173484677,candidate_digitized_hugoniot
22.521,1248.3,0.8703677607857954,1038.2568761452098,1196.7826743485894,4.644151807567169,1243.6558481924328,candidate_digitized_hugoniot
