density_g_cm3,pressure_gpa
8.964651983164984,-0.3852522838715231
8.969438947050108,-0.3852522838715231
8.974225910935232,-0.3852522838715231
8.983761542994397,-0.3852522838715231
8.988548506879521,0.2654147434891456
8.993335470764642,0.2654147434891456
8.998084138938683,0.2654147434891456
9.007658066708931,0.2654147434891456
9.012445030594055,0.2654147434891456
9.017193698768097,0.2654147434891456
9.02198066265322,0.2654147434891456
9.031554590423465,0.9160817708493596
9.036303258597506,0.9160817708493596
9.041090222482634,0.9160817708493596
9.050664150252878,0.9160817708493596
9.05541281842692,0.9160817708493596
9.060199782312043,0.9160817708493596
9.064986746197167,0.9160817708493596
9.074522378256333,1.5615014834729664
9.079309342141457,1.5615014834729664
9.08409630602658,1.5615014834729664
9.093631938085743,1.5615014834729664
9.098418901970867,1.5615014834729664
9.10320586585599,1.5615014834729664
9.107992829741114,2.2121685108331803
9.11752846180028,2.2121685108331803
9.122315425685404,2.2121685108331803
9.127102389570524,2.2121685108331803
9.136638021629693,2.2121685108331803
9.141424985514814,2.2121685108331803
9.146211949399937,2.2121685108331803
9.155747581459103,2.8628355381929396
9.160534545344227,2.8628355381929396
9.165321509229347,2.8628355381929396
9.170108473114475,2.8628355381929396
9.179644105173637,2.8628355381929396
9.18443106905876,2.8628355381929396
9.189218032943884,3.5135025655531535
9.19875366500305,3.5135025655531535
9.203540628888174,3.5135025655531535
9.208327592773298,3.5135025655531535
9.217863224832463,3.5135025655531535
9.222650188717584,3.5135025655531535
9.227437152602707,4.15892227817676
9.236972784661873,4.15892227817676
9.241759748546997,4.15892227817676
9.24654671243212,4.15892227817676
9.256082344491286,4.15892227817676
9.26086930837641,4.15892227817676
9.265656272261534,4.809589305537429
9.275191904320696,4.809589305537429
9.27997886820582,4.809589305537429
9.284765832090944,4.809589305537429
9.29430146415011,4.809589305537429
9.299088428035233,5.460256332897643
9.303875391920357,5.460256332897643
9.31341102397952,5.460256332897643
9.318197987864643,5.460256332897643
9.32298495174977,5.460256332897643
9.332520583808932,5.460256332897643
9.337307547694056,6.110923360257857
9.346843179753222,6.110923360257857
9.351630143638346,6.110923360257857
9.35641710752347,6.110923360257857
9.365952739582635,6.110923360257857
9.370739703467756,6.761590387618526
9.37552666735288,6.761590387618526
9.385100595123127,6.761590387618526
9.389887559008251,6.761590387618526
9.399423191067417,6.761590387618526
9.404210154952537,6.761590387618526
9.40899711883766,7.407010100241678
9.418532750896826,7.407010100241678
9.42331971478195,7.407010100241678
9.428106678667074,7.407010100241678
9.43764231072624,7.407010100241678
9.44242927461136,8.057677127602346
9.452003202381611,8.057677127602346
9.45675187055565,8.057677127602346
9.461538834440773,8.057677127602346
9.471112762211021,8.057677127602346
9.475861430385063,8.70834415496256
9.48543535815531,8.70834415496256
9.490222322040434,8.70834415496256
9.494970990214473,8.70834415496256
9.50454491798472,8.70834415496256
9.509331881869844,9.35901118232232
9.51886751392901,9.35901118232232
9.523654477814134,9.35901118232232
9.528441441699258,9.35901118232232
9.537977073758423,9.35901118232232
9.542764037643547,10.004430894946381
9.552299669702709,10.004430894946381
9.557086633587833,10.004430894946381
9.56666056135808,10.004430894946381
9.571409229532122,10.004430894946381
9.576196193417246,10.65509792230614
9.58577012118749,10.65509792230614
9.590557085072614,10.65509792230614
9.600092717131783,10.65509792230614
9.604879681016904,11.311012264403416
9.61441531307607,11.311012264403416
9.619202276961193,11.311012264403416
9.628776204731437,11.311012264403416
9.633524872905483,11.311012264403416
9.638311836790606,11.961679291764085
9.64788576456085,11.961679291764085
9.652634432734892,11.961679291764085
9.66220836050514,11.961679291764085
9.666995324390264,11.961679291764085
9.67653095644943,12.612346319124299
9.68131792033455,12.612346319124299
9.690853552393719,12.612346319124299
9.69564051627884,12.612346319124299
9.705214444049087,13.257766031747906
9.709963112223129,13.257766031747906
9.714750076108253,13.257766031747906
9.724324003878497,13.257766031747906
9.729072672052542,13.90843305910812
9.738646599822786,13.90843305910812
9.74343356370791,13.90843305910812
9.752969195767076,13.90843305910812
9.7577561596522,13.90843305910812
9.767291791711365,14.559100086468789
9.772078755596485,14.559100086468789
9.781652683366733,14.559100086468789
9.786439647251857,14.559100086468789
9.795975279311023,15.209767113828548
9.800762243196147,15.209767113828548
9.81033617096639,15.209767113828548
9.815123134851515,15.209767113828548
9.82465876691068,15.855186826452154
9.829445730795804,15.855186826452154
9.83898136285497,15.855186826452154
9.843768326740093,15.855186826452154
9.853342254510341,16.50585385381237
9.858090922684383,16.50585385381237
9.867664850454627,16.50585385381237
9.872451814339751,16.50585385381237
9.881987446398917,17.156520881172582
9.88677441028404,17.156520881172582
9.896310042343206,17.156520881172582
9.90588397011345,17.156520881172582
9.910670933998574,17.80718790853325
9.92020656605774,17.80718790853325
9.924993529942864,17.80718790853325
9.934529162002029,17.80718790853325
9.939316125887153,18.457854935893465
9.9488900536574,18.457854935893465
9.953638721831442,18.457854935893465
9.963212649601687,18.457854935893465
9.96799961348681,19.103274648517072
9.977535245545976,19.103274648517072
9.987109173316224,19.103274648517072
9.991896137201344,19.753941675877286
10.001431769260513,19.753941675877286
10.006218733145634,19.753941675877286
10.0157543652048,19.753941675877286
10.020541329089923,20.404608703237955
10.030115256860167,20.404608703237955
10.034863925034212,20.404608703237955
10.04443785280446,21.055275730597714
10.053973484863622,21.055275730597714
10.058760448748746,21.055275730597714
10.068334376518994,21.055275730597714
10.073083044693036,21.705942757957928
