material_identifier,material_name,formula,represented_phase_or_polymorph,phase_identity_source,symmetry,space_group,formula_units_per_cell,equation_kinds,eos_record_count,input_file
molybenum_carbide_mo2c,Molybdenum carbide Mo2C,Mo2C,Molybdenum carbide Mo2C,material name plus crystal structure,ORTHORHOMBIC,Pbcn,4,isothermal,2,peritheos/data/materials/molybenum_carbide_mo2c.eosmat
na088al099fe013si094o4_calcium_ferrite,Na0.88Al0.99Fe0.13Si0.94O4 (calcium-ferrite type),Na0.88Al0.99Fe0.13Si0.94O4,"Fe-bearing calcium-ferrite-type phase, synthesis run 5K2681",top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/na088al099fe013si094o4_calcium_ferrite.eosmat
na093al102si100o4_calcium_ferrite,Na0.93Al1.02Si1.00O4 (calcium-ferrite type),Na0.93Al1.02Si1.00O4,"Fe-free calcium-ferrite-type phase, synthesis run 5K2124",top-level phase field,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/na093al102si100o4_calcium_ferrite.eosmat
naalsi2o6,NaAlSi2O6,NaAlSi2O6,NaAlSi2O6,material name plus crystal structure,MONOCLINIC,C2/c,4,isothermal,1,peritheos/data/materials/naalsi2o6.eosmat
naalsio4_calcium_ferrite,NaAlSiO4 (calcium-ferrite type),NaAlSiO4,NaAlSiO4 (calcium-ferrite type),material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/naalsio4_calcium_ferrite.eosmat
nacl_b1,NaCl (B1),NaCl,NaCl (B1),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/nacl_b1.eosmat
nacl_b2,NaCl,NaCl,NaCl,material name plus crystal structure,CUBIC,Pm-3m,1,isothermal,2,peritheos/data/materials/nacl_b2.eosmat
neon_fcc,Neon (fcc),Ne,Neon (fcc),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal;thermal,3,peritheos/data/materials/neon_fcc.eosmat
nickel,Nickel,Ni,Nickel,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/nickel.eosmat
nickel_oxide,Nickel oxide (rhombohedral B1),NiO,rhombohedral B1,top-level phase field,TRIGONAL,R-3m,3,isothermal;hugoniot,2,peritheos/data/materials/nickel_oxide.eosmat
niobium,Niobium,Nb,Niobium,material name plus crystal structure,CUBIC,Im-3m,2,isothermal;thermal,2,peritheos/data/materials/niobium.eosmat
nis,NiS,NiS,"metastable NiAs-type, hexagonal P63/mmc",top-level phase field,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/nis.eosmat
orthoenstatite,Orthoenstatite,MgSiO3,Orthoenstatite,material name plus crystal structure,ORTHORHOMBIC,Pbca,16,isothermal,1,peritheos/data/materials/orthoenstatite.eosmat
osmium,Osmium,Os,Osmium,material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/osmium.eosmat
palladium,Palladium,Pd,Palladium,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,7,peritheos/data/materials/palladium.eosmat
pbs_b1,PbS_B1,PbS,PbS_B1,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/pbs_b1.eosmat
perovskite_orthorhombic,(Mg0.88Fe0.12)SiO3 perovskite,Mg0.88Fe0.12SiO3,(Mg0.88Fe0.12)SiO3 perovskite,material name plus crystal structure,ORTHORHOMBIC,Pbnm,4,isothermal,1,peritheos/data/materials/perovskite_orthorhombic.eosmat
phase_d,PHASE D,Mg1.11Si1.89H2.22O6,Fe-bearing hexagonal phase D derived from antigorite,top-level phase field,HEXAGONAL,P-31m,1,isothermal,2,peritheos/data/materials/phase_d.eosmat
phase_egg,Phase Egg,Al0.98Si0.92H1.39O4,"monoclinic Al-bearing hydrous phase Egg, sample S5050",top-level phase field,MONOCLINIC,P21/n,4,isothermal,2,peritheos/data/materials/phase_egg.eosmat
platinum,Platinum,Pt,Platinum,material name plus crystal structure,CUBIC,Fm-3m,4,thermal;isothermal,4,peritheos/data/materials/platinum.eosmat
praseodymium_dioxide,Praseodymium dioxide (fluorite),PrO2,Praseodymium dioxide (fluorite),material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/praseodymium_dioxide.eosmat
pyrope,Pyrope,Mg3Al2Si3O12,Pyrope,material name plus crystal structure,CUBIC,Ia-3d,8,isothermal,1,peritheos/data/materials/pyrope.eosmat
rbcl,Rubidium chloride (B2),RbCl,"B2 (CsCl-type), cubic Pm-3m",top-level phase field,CUBIC,Pm-3m,1,isothermal,1,peritheos/data/materials/rbcl.eosmat
rhenium,Rhenium,Re,Rhenium,material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/rhenium.eosmat
rhodium,Rhodium,Rh,Rhodium,material name plus crystal structure,CUBIC,Fm-3m,4,isothermal,1,peritheos/data/materials/rhodium.eosmat
ringwoodite,Ringwoodite,Mg2SiO4,Ringwoodite,material name plus crystal structure,CUBIC,Fd-3m,8,isothermal,1,peritheos/data/materials/ringwoodite.eosmat
ruthenium,Ruthenium,Ru,Ruthenium,material name plus crystal structure,HEXAGONAL,P63/mmc,2,isothermal,1,peritheos/data/materials/ruthenium.eosmat
