American Mineralogist: May 2018 Deposit AM-18-56212																		
CHIDESTER ET AL.: HIGH-PRESSURE PHASE BEHAVIOR OF THO2																		
"Supplemental Table 2. Lattice parameters, pressures, temperatures, and volumes for the in situ XRD measurements of cotunnite-type ThO2"																		
Sample	P	P err	a	err	b	err	c	err	V (A^3)	err	V (cc/mole)	err	c/a	b/a	c/b	T ThO2 (K)	err T	Pressure Standard
B70_489	29.4	0.8	5.937	0.006	3.615	0.002	6.895	0.003	148	0.2	22.28	0.03	1.161	0.609	1.907	1458	110	KCl
B70_492	28.4	0.6	5.934	0.005	3.614	0.002	6.891	0.003	147.8	0.2	22.24	0.02	1.161	0.609	1.907	1273	107	KCl
B70_527	35.2	0.6	5.884	0.006	3.596	0.002	6.86	0.004	145.2	0.2	21.85	0.03	1.166	0.611	1.908	1276	105	KCl
B70_524	35.3	0.6	5.885	0.003	3.594	0.001	6.862	0.002	145.1	0.1	21.85	0.02	1.166	0.611	1.909	1412	106	KCl
B70_523	35.6	0.7	5.875	0.005	3.597	0.002	6.87	0.003	145.2	0.1	21.86	0.02	1.169	0.612	1.91	1535	108	KCl
B70_522	36.1	0.9	5.885	0.004	3.598	0.002	6.865	0.003	145.4	0.1	21.89	0.02	1.167	0.611	1.908	1652	110	KCl
B70_521	35.8	0.9	5.883	0.005	3.599	0.002	6.872	0.003	145.5	0.2	21.91	0.02	1.168	0.612	1.909	1805	115	KCl
B70_520	36	1	5.886	0.004	3.599	0.002	6.874	0.003	145.6	0.1	21.92	0.02	1.168	0.611	1.91	1962	119	KCl
B70_519	37	1	5.888	0.005	3.602	0.002	6.875	0.003	145.8	0.2	21.95	0.02	1.168	0.612	1.909	2176	129	KCl
B70_518	37	1	5.888	0.005	3.603	0.002	6.88	0.004	146	0.2	21.97	0.03	1.169	0.612	1.909	2397	140	KCl
B70_516	36	2	5.888	0.004	3.606	0.002	6.885	0.003	146.2	0.1	22.01	0.02	1.169	0.612	1.909	2530	150	KCl
B70_562	62	1	5.664	0.004	3.5541	0.0009	6.749	0.002	135.9	0.1	20.45	0.02	1.192	0.627	1.899	2480	131	KCl
B70_565	62	1	5.663	0.003	3.551	0.001	6.748	0.002	135.68	0.09	20.43	0.01	1.191	0.627	1.9	2115	120	KCl
B70_566	61	1	5.662	0.004	3.549	0.001	6.745	0.002	135.5	0.1	20.41	0.02	1.191	0.627	1.901	1987	115	KCl
B70_568	61	1	5.662	0.005	3.544	0.002	6.747	0.003	135.4	0.1	20.38	0.02	1.192	0.626	1.904	1822	112	KCl
B70_571	61.1	0.9	5.666	0.003	3.545	0.001	6.733	0.002	135.2	0.1	20.36	0.02	1.188	0.626	1.899	1604	109	KCl
B70_574	61.2	0.9	5.67	0.004	3.542	0.002	6.73	0.003	135.2	0.1	20.35	0.02	1.187	0.625	1.9	1453	107	KCl
B70_577	60.4	0.8	5.664	0.003	3.542	0.001	6.74	0.003	135.2	0.1	20.36	0.02	1.19	0.625	1.903	1313	106	KCl
